Table Name,Columns,Data Types,Constraints
person.businessentitycontact,"['personid', 'businessentityid', 'contacttypeid', 'personid', 'contacttypeid', 'businessentityid']","[['integer', 'integer', 'integer', 'integer', 'integer', 'integer']]","[('PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeI', 'u'), ('FK_BusinessEntityContact_BusinessEntity_BusinessEntityID', 'u'), ('FK_BusinessEntityContact_ContactType_ContactTypeID', 'u'), ('FK_BusinessEntityContact_Person_PersonID', 'p'), ('PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeI', 'p'), ('PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeI', 'u')]"
person.contacttype,['contacttypeid'],[['integer']],"[('PK_ContactType_ContactTypeID', 'u')]"
person.countryregion,['countryregioncode'],[['character varying(3)']],"[('PK_CountryRegion_CountryRegionCode', 'u')]"
person.emailaddress,"['businessentityid', 'emailaddressid', 'businessentityid']","[['integer', 'integer', 'integer']]","[('PK_EmailAddress_BusinessEntityID_EmailAddressID', 'u'), ('PK_EmailAddress_BusinessEntityID_EmailAddressID', 'u'), ('FK_EmailAddress_Person_BusinessEntityID', 'u')]"
person.password,"['businessentityid', 'businessentityid']","[['integer', 'integer']]","[('PK_Password_BusinessEntityID', 'u'), ('FK_Password_Person_BusinessEntityID', 'u')]"
person.person,"['businessentityid', 'emailpromotion', 'persontype', 'businessentityid']","[['integer', 'integer', 'character(2)', 'integer']]","[('FK_Person_BusinessEntity_BusinessEntityID', 'u'), ('CK_Person_EmailPromotion', 'u'), ('CK_Person_PersonType', 'u'), ('PK_Person_BusinessEntityID', 'p')]"
person.personphone,"['phonenumbertypeid', 'businessentityid', 'phonenumber', 'phonenumbertypeid', 'businessentityid']","[['integer', 'integer', '""Phone""', 'integer', 'integer']]","[('PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID', 'u'), ('PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID', 'u'), ('PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID', 'u'), ('FK_PersonPhone_PhoneNumberType_PhoneNumberTypeID', 'p'), ('FK_PersonPhone_Person_BusinessEntityID', 'p')]"
person.phonenumbertype,['phonenumbertypeid'],[['integer']],"[('PK_PhoneNumberType_PhoneNumberTypeID', 'u')]"
person.stateprovince,"['stateprovinceid', 'territoryid', 'countryregioncode']","[['integer', 'integer', 'character varying(3)']]","[('PK_StateProvince_StateProvinceID', 'u'), ('FK_StateProvince_SalesTerritory_TerritoryID', 'u'), ('FK_StateProvince_CountryRegion_CountryRegionCode', 'u')]"
pg_aggregate,['aggfnoid'],[['regproc']],"[('pg_aggregate_fnoid_index', 'u')]"
pg_am,"['amname', 'oid']","[['name', 'oid']]","[('pg_am_name_index', 'u'), ('pg_am_oid_index', 'u')]"
pg_amop,"['oid', 'amopstrategy', 'amoprighttype', 'amoplefttype', 'amopfamily', 'amopopr', 'amoppurpose', 'amopfamily']","[['oid', 'smallint', 'oid', 'oid', 'oid', 'oid', '""char""', 'oid']]","[('pg_amop_oid_index', 'u'), ('pg_amop_fam_strat_index', 'u'), ('pg_amop_fam_strat_index', 'u'), ('pg_amop_fam_strat_index', 'p'), ('pg_amop_fam_strat_index', 'p'), ('pg_amop_opr_fam_index', 'u'), ('pg_amop_opr_fam_index', 'u'), ('pg_amop_opr_fam_index', 'p')]"
pg_amproc,"['amprocnum', 'amprocfamily', 'oid', 'amproclefttype', 'amprocrighttype']","[['smallint', 'oid', 'oid', 'oid', 'oid']]","[('pg_amproc_fam_proc_index', 'u'), ('pg_amproc_fam_proc_index', 'u'), ('pg_amproc_oid_index', 'u'), ('pg_amproc_fam_proc_index', 'p'), ('pg_amproc_fam_proc_index', 'p')]"
pg_attrdef,"['adrelid', 'oid', 'adnum']","[['oid', 'oid', 'smallint']]","[('pg_attrdef_adrelid_adnum_index', 'u'), ('pg_attrdef_oid_index', 'u'), ('pg_attrdef_adrelid_adnum_index', 'u')]"
pg_attribute,"['attnum', 'attrelid', 'attrelid', 'attname']","[['smallint', 'oid', 'oid', 'name']]","[('pg_attribute_relid_attnum_index', 'u'), ('pg_attribute_relid_attnum_index', 'u'), ('pg_attribute_relid_attnam_index', 'u'), ('pg_attribute_relid_attnam_index', 'p')]"
pg_auth_members,"['grantor', 'grantor', 'roleid', 'member', 'oid', 'roleid', 'member']","[['oid', 'oid', 'oid', 'oid', 'oid', 'oid', 'oid']]","[('pg_auth_members_role_member_index', 'u'), ('pg_auth_members_member_role_index', 'u'), ('pg_auth_members_role_member_index', 'u'), ('pg_auth_members_role_member_index', 'p'), ('pg_auth_members_oid_index', 'p'), ('pg_auth_members_member_role_index', 'u'), ('pg_auth_members_member_role_index', 'u')]"
pg_authid,"['oid', 'rolname']","[['oid', 'name']]","[('pg_authid_oid_index', 'u'), ('pg_authid_rolname_index', 'u')]"
pg_cast,"['castsource', 'casttarget', 'oid']","[['oid', 'oid', 'oid']]","[('pg_cast_source_target_index', 'u'), ('pg_cast_source_target_index', 'u'), ('pg_cast_oid_index', 'u')]"
pg_class,"['relname', 'relnamespace', 'oid']","[['name', 'oid', 'oid']]","[('pg_class_relname_nsp_index', 'u'), ('pg_class_relname_nsp_index', 'u'), ('pg_class_oid_index', 'u')]"
pg_collation,"['collencoding', 'collname', 'oid', 'collnamespace']","[['integer', 'name', 'oid', 'oid']]","[('pg_collation_name_enc_nsp_index', 'u'), ('pg_collation_name_enc_nsp_index', 'u'), ('pg_collation_oid_index', 'u'), ('pg_collation_name_enc_nsp_index', 'p')]"
pg_constraint,"['conrelid', 'contypid', 'oid', 'conname']","[['oid', 'oid', 'oid', 'name']]","[('pg_constraint_conrelid_contypid_conname_index', 'u'), ('pg_constraint_conrelid_contypid_conname_index', 'u'), ('pg_constraint_oid_index', 'u'), ('pg_constraint_conrelid_contypid_conname_index', 'p')]"
pg_conversion,"['oid', 'oid', 'conname', 'connamespace', 'connamespace', 'conforencoding', 'contoencoding']","[['oid', 'oid', 'name', 'oid', 'oid', 'integer', 'integer']]","[('pg_conversion_default_index', 'u'), ('pg_conversion_oid_index', 'u'), ('pg_conversion_name_nsp_index', 'u'), ('pg_conversion_name_nsp_index', 'p'), ('pg_conversion_default_index', 'p'), ('pg_conversion_default_index', 'u'), ('pg_conversion_default_index', 'u')]"
pg_database,"['oid', 'datname']","[['oid', 'name']]","[('pg_database_oid_index', 'u'), ('pg_database_datname_index', 'u')]"
pg_db_role_setting,"['setdatabase', 'setrole']","[['oid', 'oid']]","[('pg_db_role_setting_databaseid_rol_index', 'u'), ('pg_db_role_setting_databaseid_rol_index', 'u')]"
pg_default_acl,"['defaclrole', 'defaclnamespace', 'defaclobjtype', 'oid']","[['oid', 'oid', '""char""', 'oid']]","[('pg_default_acl_role_nsp_obj_index', 'u'), ('pg_default_acl_role_nsp_obj_index', 'u'), ('pg_default_acl_role_nsp_obj_index', 'u'), ('pg_default_acl_oid_index', 'p')]"
pg_description,"['objsubid', 'classoid', 'objoid']","[['integer', 'oid', 'oid']]","[('pg_description_o_c_o_index', 'u'), ('pg_description_o_c_o_index', 'u'), ('pg_description_o_c_o_index', 'u')]"
pg_enum,"['enumlabel', 'oid', 'enumtypid', 'enumtypid', 'enumsortorder']","[['name', 'oid', 'oid', 'oid', 'real']]","[('pg_enum_typid_label_index', 'u'), ('pg_enum_oid_index', 'u'), ('pg_enum_typid_sortorder_index', 'u'), ('pg_enum_typid_label_index', 'p'), ('pg_enum_typid_sortorder_index', 'p')]"
pg_event_trigger,"['oid', 'evtname']","[['oid', 'name']]","[('pg_event_trigger_oid_index', 'u'), ('pg_event_trigger_evtname_index', 'u')]"
pg_extension,"['oid', 'extname']","[['oid', 'name']]","[('pg_extension_oid_index', 'u'), ('pg_extension_name_index', 'u')]"
pg_foreign_data_wrapper,"['fdwname', 'oid']","[['name', 'oid']]","[('pg_foreign_data_wrapper_name_index', 'u'), ('pg_foreign_data_wrapper_oid_index', 'u')]"
pg_foreign_server,"['srvname', 'oid']","[['name', 'oid']]","[('pg_foreign_server_name_index', 'u'), ('pg_foreign_server_oid_index', 'u')]"
pg_foreign_table,['ftrelid'],[['oid']],"[('pg_foreign_table_relid_index', 'u')]"
pg_index,['indexrelid'],[['oid']],"[('pg_index_indexrelid_index', 'u')]"
pg_inherits,"['inhseqno', 'inhrelid']","[['integer', 'oid']]","[('pg_inherits_relid_seqno_index', 'u'), ('pg_inherits_relid_seqno_index', 'u')]"
pg_init_privs,"['classoid', 'objsubid', 'objoid']","[['oid', 'integer', 'oid']]","[('pg_init_privs_o_c_o_index', 'u'), ('pg_init_privs_o_c_o_index', 'u'), ('pg_init_privs_o_c_o_index', 'u')]"
pg_language,"['lanname', 'oid']","[['name', 'oid']]","[('pg_language_name_index', 'u'), ('pg_language_oid_index', 'u')]"
pg_largeobject,"['loid', 'pageno']","[['oid', 'integer']]","[('pg_largeobject_loid_pn_index', 'u'), ('pg_largeobject_loid_pn_index', 'u')]"
pg_largeobject_metadata,['oid'],[['oid']],"[('pg_largeobject_metadata_oid_index', 'u')]"
pg_namespace,"['nspname', 'oid']","[['name', 'oid']]","[('pg_namespace_nspname_index', 'u'), ('pg_namespace_oid_index', 'u')]"
pg_opclass,"['oid', 'opcnamespace', 'opcname', 'opcmethod']","[['oid', 'oid', 'name', 'oid']]","[('pg_opclass_oid_index', 'u'), ('pg_opclass_am_name_nsp_index', 'u'), ('pg_opclass_am_name_nsp_index', 'u'), ('pg_opclass_am_name_nsp_index', 'p')]"
pg_operator,"['oprright', 'oid', 'oprname', 'oprnamespace', 'oprleft']","[['oid', 'oid', 'name', 'oid', 'oid']]","[('pg_operator_oprname_l_r_n_index', 'u'), ('pg_operator_oid_index', 'u'), ('pg_operator_oprname_l_r_n_index', 'u'), ('pg_operator_oprname_l_r_n_index', 'p'), ('pg_operator_oprname_l_r_n_index', 'p')]"
pg_opfamily,"['opfmethod', 'opfname', 'oid', 'opfnamespace']","[['oid', 'name', 'oid', 'oid']]","[('pg_opfamily_am_name_nsp_index', 'u'), ('pg_opfamily_am_name_nsp_index', 'u'), ('pg_opfamily_oid_index', 'u'), ('pg_opfamily_am_name_nsp_index', 'p')]"
pg_parameter_acl,"['parname', 'oid']","[['text', 'oid']]","[('pg_parameter_acl_parname_index', 'u'), ('pg_parameter_acl_oid_index', 'u')]"
pg_partitioned_table,['partrelid'],[['oid']],"[('pg_partitioned_table_partrelid_index', 'u')]"
pg_policy,"['oid', 'polname', 'polrelid']","[['oid', 'name', 'oid']]","[('pg_policy_oid_index', 'u'), ('pg_policy_polrelid_polname_index', 'u'), ('pg_policy_polrelid_polname_index', 'u')]"
pg_proc,"['proargtypes', 'pronamespace', 'proname', 'oid']","[['oidvector', 'oid', 'name', 'oid']]","[('pg_proc_proname_args_nsp_index', 'u'), ('pg_proc_proname_args_nsp_index', 'u'), ('pg_proc_proname_args_nsp_index', 'u'), ('pg_proc_oid_index', 'p')]"
pg_publication,"['pubname', 'oid']","[['name', 'oid']]","[('pg_publication_pubname_index', 'u'), ('pg_publication_oid_index', 'u')]"
pg_publication_namespace,"['oid', 'pnpubid', 'pnnspid']","[['oid', 'oid', 'oid']]","[('pg_publication_namespace_oid_index', 'u'), ('pg_publication_namespace_pnnspid_pnpubid_index', 'u'), ('pg_publication_namespace_pnnspid_pnpubid_index', 'u')]"
pg_publication_rel,"['oid', 'prrelid', 'prpubid']","[['oid', 'oid', 'oid']]","[('pg_publication_rel_oid_index', 'u'), ('pg_publication_rel_prrelid_prpubid_index', 'u'), ('pg_publication_rel_prrelid_prpubid_index', 'u')]"
pg_range,"['rngmultitypid', 'rngtypid']","[['oid', 'oid']]","[('pg_range_rngmultitypid_index', 'u'), ('pg_range_rngtypid_index', 'u')]"
pg_replication_origin,"['roident', 'roname']","[['oid', 'text']]","[('pg_replication_origin_roiident_index', 'u'), ('pg_replication_origin_roname_index', 'u')]"
pg_rewrite,"['oid', 'ev_class', 'rulename']","[['oid', 'oid', 'name']]","[('pg_rewrite_oid_index', 'u'), ('pg_rewrite_rel_rulename_index', 'u'), ('pg_rewrite_rel_rulename_index', 'u')]"
pg_seclabel,"['provider', 'objsubid', 'classoid', 'objoid']","[['text', 'integer', 'oid', 'oid']]","[('pg_seclabel_object_index', 'u'), ('pg_seclabel_object_index', 'u'), ('pg_seclabel_object_index', 'u'), ('pg_seclabel_object_index', 'p')]"
pg_sequence,['seqrelid'],[['oid']],"[('pg_sequence_seqrelid_index', 'u')]"
pg_shdescription,"['objoid', 'classoid']","[['oid', 'oid']]","[('pg_shdescription_o_c_index', 'u'), ('pg_shdescription_o_c_index', 'u')]"
pg_shseclabel,"['provider', 'objoid', 'classoid']","[['text', 'oid', 'oid']]","[('pg_shseclabel_object_index', 'u'), ('pg_shseclabel_object_index', 'u'), ('pg_shseclabel_object_index', 'u')]"
pg_statistic,"['staattnum', 'starelid', 'stainherit']","[['smallint', 'oid', 'boolean']]","[('pg_statistic_relid_att_inh_index', 'u'), ('pg_statistic_relid_att_inh_index', 'u'), ('pg_statistic_relid_att_inh_index', 'u')]"
pg_statistic_ext,"['stxnamespace', 'oid', 'stxname']","[['oid', 'oid', 'name']]","[('pg_statistic_ext_name_index', 'u'), ('pg_statistic_ext_oid_index', 'u'), ('pg_statistic_ext_name_index', 'u')]"
pg_statistic_ext_data,"['stxdinherit', 'stxoid']","[['boolean', 'oid']]","[('pg_statistic_ext_data_stxoid_inh_index', 'u'), ('pg_statistic_ext_data_stxoid_inh_index', 'u')]"
pg_subscription,"['subname', 'subdbid', 'oid']","[['name', 'oid', 'oid']]","[('pg_subscription_subname_index', 'u'), ('pg_subscription_subname_index', 'u'), ('pg_subscription_oid_index', 'u')]"
pg_subscription_rel,"['srsubid', 'srrelid']","[['oid', 'oid']]","[('pg_subscription_rel_srrelid_srsubid_index', 'u'), ('pg_subscription_rel_srrelid_srsubid_index', 'u')]"
pg_tablespace,"['oid', 'spcname']","[['oid', 'name']]","[('pg_tablespace_oid_index', 'u'), ('pg_tablespace_spcname_index', 'u')]"
pg_transform,"['trflang', 'trftype', 'oid']","[['oid', 'oid', 'oid']]","[('pg_transform_type_lang_index', 'u'), ('pg_transform_type_lang_index', 'u'), ('pg_transform_oid_index', 'u')]"
pg_trigger,"['tgrelid', 'oid', 'tgname']","[['oid', 'oid', 'name']]","[('pg_trigger_tgrelid_tgname_index', 'u'), ('pg_trigger_oid_index', 'u'), ('pg_trigger_tgrelid_tgname_index', 'u')]"
pg_ts_config,"['oid', 'cfgname', 'cfgnamespace']","[['oid', 'name', 'oid']]","[('pg_ts_config_oid_index', 'u'), ('pg_ts_config_cfgname_index', 'u'), ('pg_ts_config_cfgname_index', 'u')]"
pg_ts_config_map,"['maptokentype', 'mapcfg', 'mapseqno']","[['integer', 'oid', 'integer']]","[('pg_ts_config_map_index', 'u'), ('pg_ts_config_map_index', 'u'), ('pg_ts_config_map_index', 'u')]"
pg_ts_dict,"['oid', 'dictname', 'dictnamespace']","[['oid', 'name', 'oid']]","[('pg_ts_dict_oid_index', 'u'), ('pg_ts_dict_dictname_index', 'u'), ('pg_ts_dict_dictname_index', 'u')]"
pg_ts_parser,"['prsnamespace', 'prsname', 'oid']","[['oid', 'name', 'oid']]","[('pg_ts_parser_prsname_index', 'u'), ('pg_ts_parser_prsname_index', 'u'), ('pg_ts_parser_oid_index', 'u')]"
pg_ts_template,"['tmplname', 'oid', 'tmplnamespace']","[['name', 'oid', 'oid']]","[('pg_ts_template_tmplname_index', 'u'), ('pg_ts_template_oid_index', 'u'), ('pg_ts_template_tmplname_index', 'u')]"
pg_type,"['typname', 'oid', 'typnamespace']","[['name', 'oid', 'oid']]","[('pg_type_typname_nsp_index', 'u'), ('pg_type_oid_index', 'u'), ('pg_type_typname_nsp_index', 'u')]"
pg_user_mapping,"['oid', 'umuser', 'umserver']","[['oid', 'oid', 'oid']]","[('pg_user_mapping_oid_index', 'u'), ('pg_user_mapping_user_server_index', 'u'), ('pg_user_mapping_user_server_index', 'u')]"
production.billofmaterials,"['unitmeasurecode', 'startdate', 'perassemblyqty', 'productassemblyid', 'componentid', 'productassemblyid', 'componentid', 'billofmaterialsid', 'perassemblyqty', 'productassemblyid', 'bomlevel', 'enddate']","[['character(3)', 'timestamp without time zone', 'numeric(8,2)', 'integer', 'integer', 'integer', 'integer', 'integer', 'numeric(8,2)', 'integer', 'smallint', 'timestamp without time zone']]","[('FK_BillOfMaterials_UnitMeasure_UnitMeasureCode', 'u'), ('CK_BillOfMaterials_EndDate', 'u'), ('CK_BillOfMaterials_BOMLevel', 'u'), ('CK_BillOfMaterials_ProductAssemblyID', 'p'), ('CK_BillOfMaterials_ProductAssemblyID', 'p'), ('FK_BillOfMaterials_Product_ProductAssemblyID', 'u'), ('FK_BillOfMaterials_Product_ComponentID', 'u'), ('PK_BillOfMaterials_BillOfMaterialsID', 'p'), ('CK_BillOfMaterials_PerAssemblyQty', 'u'), ('CK_BillOfMaterials_BOMLevel', 'p'), ('CK_BillOfMaterials_BOMLevel', 'p'), ('CK_BillOfMaterials_EndDate', 'u')]"
production.culture,['cultureid'],[['character(6)']],"[('PK_Culture_CultureID', 'u')]"
production.document,"['status', 'rowguid', 'owner', 'documentnode']","[['smallint', 'uuid', 'integer', 'character varying']]","[('CK_Document_Status', 'u'), ('document_rowguid_key', 'u'), ('FK_Document_Employee_Owner', 'u'), ('PK_Document_DocumentNode', 'p')]"
production.illustration,['illustrationid'],[['integer']],"[('PK_Illustration_IllustrationID', 'u')]"
production.location,"['availability', 'costrate', 'locationid']","[['numeric(8,2)', 'numeric', 'integer']]","[('CK_Location_Availability', 'u'), ('CK_Location_CostRate', 'u'), ('PK_Location_LocationID', 'u')]"
production.product,"['reorderpoint', 'productsubcategoryid', 'productmodelid', 'weightunitmeasurecode', 'sizeunitmeasurecode', 'productid', 'daystomanufacture', 'productline', 'class', 'listprice', 'style', 'sellstartdate', 'sellenddate', 'safetystocklevel', 'standardcost', 'weight']","[['smallint', 'integer', 'integer', 'character(3)', 'character(3)', 'integer', 'integer', 'character(2)', 'character(2)', 'numeric', 'character(2)', 'timestamp without time zone', 'timestamp without time zone', 'smallint', 'numeric', 'numeric(8,2)']]","[('CK_Product_ReorderPoint', 'u'), ('FK_Product_ProductSubcategory_ProductSubcategoryID', 'u'), ('FK_Product_ProductModel_ProductModelID', 'u'), ('FK_Product_UnitMeasure_WeightUnitMeasureCode', 'p'), ('FK_Product_UnitMeasure_SizeUnitMeasureCode', 'p'), ('PK_Product_ProductID', 'u'), ('CK_Product_DaysToManufacture', 'u'), ('CK_Product_ProductLine', 'p'), ('CK_Product_Class', 'u'), ('CK_Product_ListPrice', 'p'), ('CK_Product_Style', 'p'), ('CK_Product_SellEndDate', 'u'), ('CK_Product_SellEndDate', 'u'), ('CK_Product_SafetyStockLevel', 'u'), ('CK_Product_StandardCost', 'u'), ('CK_Product_Weight', 'u')]"
production.productcategory,['productcategoryid'],[['integer']],"[('PK_ProductCategory_ProductCategoryID', 'u')]"
production.productcosthistory,"['startdate', 'startdate', 'enddate', 'productid', 'standardcost', 'productid']","[['timestamp without time zone', 'timestamp without time zone', 'timestamp without time zone', 'integer', 'numeric', 'integer']]","[('PK_ProductCostHistory_ProductID_StartDate', 'u'), ('CK_ProductCostHistory_EndDate', 'u'), ('CK_ProductCostHistory_EndDate', 'u'), ('FK_ProductCostHistory_Product_ProductID', 'p'), ('CK_ProductCostHistory_StandardCost', 'p'), ('PK_ProductCostHistory_ProductID_StartDate', 'u')]"
production.productdescription,['productdescriptionid'],[['integer']],"[('PK_ProductDescription_ProductDescriptionID', 'u')]"
production.productdocument,"['documentnode', 'documentnode', 'productid', 'productid']","[['character varying', 'character varying', 'integer', 'integer']]","[('PK_ProductDocument_ProductID_DocumentNode', 'u'), ('FK_ProductDocument_Document_DocumentNode', 'u'), ('PK_ProductDocument_ProductID_DocumentNode', 'u'), ('FK_ProductDocument_Product_ProductID', 'p')]"
production.productinventory,"['bin', 'productid', 'locationid', 'productid', 'locationid']","[['smallint', 'integer', 'smallint', 'integer', 'smallint']]","[('CK_ProductInventory_Bin', 'u'), ('FK_ProductInventory_Product_ProductID', 'u'), ('FK_ProductInventory_Location_LocationID', 'u'), ('PK_ProductInventory_ProductID_LocationID', 'p'), ('PK_ProductInventory_ProductID_LocationID', 'p')]"
production.productlistpricehistory,"['productid', 'listprice', 'startdate', 'enddate', 'startdate', 'productid']","[['integer', 'numeric', 'timestamp without time zone', 'timestamp without time zone', 'timestamp without time zone', 'integer']]","[('FK_ProductListPriceHistory_Product_ProductID', 'u'), ('CK_ProductListPriceHistory_ListPrice', 'u'), ('CK_ProductListPriceHistory_EndDate', 'u'), ('CK_ProductListPriceHistory_EndDate', 'p'), ('PK_ProductListPriceHistory_ProductID_StartDate', 'p'), ('PK_ProductListPriceHistory_ProductID_StartDate', 'u')]"
production.productmodel,['productmodelid'],[['integer']],"[('PK_ProductModel_ProductModelID', 'u')]"
production.productmodelillustration,"['illustrationid', 'productmodelid', 'illustrationid', 'productmodelid']","[['integer', 'integer', 'integer', 'integer']]","[('PK_ProductModelIllustration_ProductModelID_IllustrationID', 'u'), ('PK_ProductModelIllustration_ProductModelID_IllustrationID', 'u'), ('FK_ProductModelIllustration_Illustration_IllustrationID', 'u'), ('FK_ProductModelIllustration_ProductModel_ProductModelID', 'p')]"
production.productmodelproductdescriptionculture,"['productdescriptionid', 'cultureid', 'productmodelid', 'productmodelid', 'cultureid']","[['integer', 'character(6)', 'integer', 'integer', 'character(6)']]","[('PK_ProductModelProductDescriptionCulture_ProductModelID_Product', 'u'), ('FK_ProductModelProductDescriptionCulture_Culture_CultureID', 'u'), ('FK_ProductModelProductDescriptionCulture_ProductModel_ProductMo', 'u'), ('PK_ProductModelProductDescriptionCulture_ProductModelID_Product', 'p'), ('PK_ProductModelProductDescriptionCulture_ProductModelID_Product', 'p')]"
production.productphoto,['productphotoid'],[['integer']],"[('PK_ProductPhoto_ProductPhotoID', 'u')]"
production.productproductphoto,"['productphotoid', 'productid', 'productid', 'productphotoid']","[['integer', 'integer', 'integer', 'integer']]","[('FK_ProductProductPhoto_ProductPhoto_ProductPhotoID', 'u'), ('PK_ProductProductPhoto_ProductID_ProductPhotoID', 'u'), ('FK_ProductProductPhoto_Product_ProductID', 'u'), ('PK_ProductProductPhoto_ProductID_ProductPhotoID', 'p')]"
production.productreview,"['productreviewid', 'productid', 'rating']","[['integer', 'integer', 'integer']]","[('PK_ProductReview_ProductReviewID', 'u'), ('FK_ProductReview_Product_ProductID', 'u'), ('CK_ProductReview_Rating', 'u')]"
production.productsubcategory,"['productsubcategoryid', 'productcategoryid']","[['integer', 'integer']]","[('PK_ProductSubcategory_ProductSubcategoryID', 'u'), ('FK_ProductSubcategory_ProductCategory_ProductCategoryID', 'u')]"
production.scrapreason,['scrapreasonid'],[['integer']],"[('PK_ScrapReason_ScrapReasonID', 'u')]"
production.transactionhistory,"['transactiontype', 'transactionid', 'productid']","[['character(1)', 'integer', 'integer']]","[('CK_TransactionHistory_TransactionType', 'u'), ('PK_TransactionHistory_TransactionID', 'u'), ('FK_TransactionHistory_Product_ProductID', 'u')]"
production.transactionhistoryarchive,"['transactionid', 'transactiontype']","[['integer', 'character(1)']]","[('PK_TransactionHistoryArchive_TransactionID', 'u'), ('CK_TransactionHistoryArchive_TransactionType', 'u')]"
production.unitmeasure,['unitmeasurecode'],[['character(3)']],"[('PK_UnitMeasure_UnitMeasureCode', 'u')]"
production.workorder,"['enddate', 'workorderid', 'productid', 'scrappedqty', 'orderqty', 'startdate', 'scrapreasonid']","[['timestamp without time zone', 'integer', 'integer', 'smallint', 'integer', 'timestamp without time zone', 'smallint']]","[('CK_WorkOrder_EndDate', 'u'), ('PK_WorkOrder_WorkOrderID', 'u'), ('FK_WorkOrder_Product_ProductID', 'u'), ('CK_WorkOrder_ScrappedQty', 'p'), ('CK_WorkOrder_OrderQty', 'p'), ('CK_WorkOrder_EndDate', 'u'), ('FK_WorkOrder_ScrapReason_ScrapReasonID', 'u')]"
