Table Name,Column Name,Data Type,Constraint Name,Constraint Type
pg_amop,amopfamily,oid,pg_amop_opr_fam_index,u
pg_amproc,amprocnum,smallint,pg_amproc_fam_proc_index,u
pg_amproc,amprocfamily,oid,pg_amproc_fam_proc_index,u
pg_amproc,oid,oid,pg_amproc_oid_index,p
pg_amproc,amproclefttype,oid,pg_amproc_fam_proc_index,u
pg_amproc,amprocrighttype,oid,pg_amproc_fam_proc_index,u
pg_attrdef,adrelid,oid,pg_attrdef_adrelid_adnum_index,u
pg_attrdef,oid,oid,pg_attrdef_oid_index,p
pg_attrdef,adnum,smallint,pg_attrdef_adrelid_adnum_index,u
pg_cast,castsource,oid,pg_cast_source_target_index,u
pg_cast,casttarget,oid,pg_cast_source_target_index,u
pg_cast,oid,oid,pg_cast_oid_index,p
pg_constraint,conrelid,oid,pg_constraint_conrelid_contypid_conname_index,u
pg_constraint,contypid,oid,pg_constraint_conrelid_contypid_conname_index,u
pg_constraint,oid,oid,pg_constraint_oid_index,p
pg_constraint,conname,name,pg_constraint_conrelid_contypid_conname_index,u
pg_conversion,oid,oid,pg_conversion_default_index,u
pg_conversion,oid,oid,pg_conversion_oid_index,p
pg_conversion,conname,name,pg_conversion_name_nsp_index,u
pg_conversion,connamespace,oid,pg_conversion_name_nsp_index,u
pg_conversion,connamespace,oid,pg_conversion_default_index,u
pg_conversion,conforencoding,integer,pg_conversion_default_index,u
pg_conversion,contoencoding,integer,pg_conversion_default_index,u
pg_description,objsubid,integer,pg_description_o_c_o_index,p
pg_description,classoid,oid,pg_description_o_c_o_index,p
pg_description,objoid,oid,pg_description_o_c_o_index,p
pg_index,indexrelid,oid,pg_index_indexrelid_index,p
pg_inherits,inhseqno,integer,pg_inherits_relid_seqno_index,p
pg_inherits,inhrelid,oid,pg_inherits_relid_seqno_index,p
pg_language,lanname,name,pg_language_name_index,u
pg_language,oid,oid,pg_language_oid_index,p
pg_largeobject,loid,oid,pg_largeobject_loid_pn_index,p
pg_largeobject,pageno,integer,pg_largeobject_loid_pn_index,p
pg_namespace,nspname,name,pg_namespace_nspname_index,u
pg_namespace,oid,oid,pg_namespace_oid_index,p
pg_opclass,oid,oid,pg_opclass_oid_index,p
pg_opclass,opcnamespace,oid,pg_opclass_am_name_nsp_index,u
pg_opclass,opcname,name,pg_opclass_am_name_nsp_index,u
pg_opclass,opcmethod,oid,pg_opclass_am_name_nsp_index,u
pg_operator,oprright,oid,pg_operator_oprname_l_r_n_index,u
pg_operator,oid,oid,pg_operator_oid_index,p
pg_operator,oprname,name,pg_operator_oprname_l_r_n_index,u
pg_operator,oprnamespace,oid,pg_operator_oprname_l_r_n_index,u
pg_operator,oprleft,oid,pg_operator_oprname_l_r_n_index,u
pg_rewrite,oid,oid,pg_rewrite_oid_index,p
pg_rewrite,ev_class,oid,pg_rewrite_rel_rulename_index,u
pg_rewrite,rulename,name,pg_rewrite_rel_rulename_index,u
pg_statistic,staattnum,smallint,pg_statistic_relid_att_inh_index,p
pg_statistic,starelid,oid,pg_statistic_relid_att_inh_index,p
pg_statistic,stainherit,boolean,pg_statistic_relid_att_inh_index,p
pg_trigger,tgrelid,oid,pg_trigger_tgrelid_tgname_index,u
pg_trigger,oid,oid,pg_trigger_oid_index,p
pg_trigger,tgname,name,pg_trigger_tgrelid_tgname_index,u
pg_opfamily,opfmethod,oid,pg_opfamily_am_name_nsp_index,u
pg_opfamily,opfname,name,pg_opfamily_am_name_nsp_index,u
pg_opfamily,oid,oid,pg_opfamily_oid_index,p
pg_opfamily,opfnamespace,oid,pg_opfamily_am_name_nsp_index,u
pg_db_role_setting,setdatabase,oid,pg_db_role_setting_databaseid_rol_index,p
pg_db_role_setting,setrole,oid,pg_db_role_setting_databaseid_rol_index,p
pg_largeobject_metadata,oid,oid,pg_largeobject_metadata_oid_index,p
pg_extension,oid,oid,pg_extension_oid_index,p
pg_extension,extname,name,pg_extension_name_index,u
pg_foreign_table,ftrelid,oid,pg_foreign_table_relid_index,p
pg_policy,oid,oid,pg_policy_oid_index,p
pg_policy,polname,name,pg_policy_polrelid_polname_index,u
pg_policy,polrelid,oid,pg_policy_polrelid_polname_index,u
pg_partitioned_table,partrelid,oid,pg_partitioned_table_partrelid_index,p
pg_statistic_ext,stxnamespace,oid,pg_statistic_ext_name_index,u
pg_statistic_ext,oid,oid,pg_statistic_ext_oid_index,p
pg_statistic_ext,stxname,name,pg_statistic_ext_name_index,u
pg_init_privs,classoid,oid,pg_init_privs_o_c_o_index,p
pg_init_privs,objsubid,integer,pg_init_privs_o_c_o_index,p
pg_init_privs,objoid,oid,pg_init_privs_o_c_o_index,p
pg_statistic_ext_data,stxdinherit,boolean,pg_statistic_ext_data_stxoid_inh_index,p
pg_statistic_ext_data,stxoid,oid,pg_statistic_ext_data_stxoid_inh_index,p
pg_collation,collencoding,integer,pg_collation_name_enc_nsp_index,u
pg_collation,collname,name,pg_collation_name_enc_nsp_index,u
pg_collation,oid,oid,pg_collation_oid_index,p
pg_collation,collnamespace,oid,pg_collation_name_enc_nsp_index,u
pg_event_trigger,oid,oid,pg_event_trigger_oid_index,p
pg_event_trigger,evtname,name,pg_event_trigger_evtname_index,u
pg_enum,enumlabel,name,pg_enum_typid_label_index,u
pg_enum,oid,oid,pg_enum_oid_index,p
pg_enum,enumtypid,oid,pg_enum_typid_sortorder_index,u
pg_enum,enumtypid,oid,pg_enum_typid_label_index,u
pg_enum,enumsortorder,real,pg_enum_typid_sortorder_index,u
pg_range,rngmultitypid,oid,pg_range_rngmultitypid_index,u
pg_range,rngtypid,oid,pg_range_rngtypid_index,p
pg_transform,trflang,oid,pg_transform_type_lang_index,u
pg_transform,trftype,oid,pg_transform_type_lang_index,u
pg_transform,oid,oid,pg_transform_oid_index,p
pg_shseclabel,provider,text,pg_shseclabel_object_index,p
pg_shseclabel,objoid,oid,pg_shseclabel_object_index,p
pg_shseclabel,classoid,oid,pg_shseclabel_object_index,p
pg_seclabel,provider,text,pg_seclabel_object_index,p
pg_seclabel,objsubid,integer,pg_seclabel_object_index,p
pg_seclabel,classoid,oid,pg_seclabel_object_index,p
pg_seclabel,objoid,oid,pg_seclabel_object_index,p
pg_ts_dict,oid,oid,pg_ts_dict_oid_index,p
pg_ts_dict,dictname,name,pg_ts_dict_dictname_index,u
pg_ts_dict,dictnamespace,oid,pg_ts_dict_dictname_index,u
pg_ts_parser,prsnamespace,oid,pg_ts_parser_prsname_index,u
pg_ts_parser,prsname,name,pg_ts_parser_prsname_index,u
pg_ts_parser,oid,oid,pg_ts_parser_oid_index,p
pg_ts_config,oid,oid,pg_ts_config_oid_index,p
pg_ts_config,cfgname,name,pg_ts_config_cfgname_index,u
pg_ts_config,cfgnamespace,oid,pg_ts_config_cfgname_index,u
pg_ts_config_map,maptokentype,integer,pg_ts_config_map_index,p
pg_ts_config_map,mapcfg,oid,pg_ts_config_map_index,p
pg_ts_config_map,mapseqno,integer,pg_ts_config_map_index,p
pg_ts_template,tmplname,name,pg_ts_template_tmplname_index,u
pg_ts_template,oid,oid,pg_ts_template_oid_index,p
pg_ts_template,tmplnamespace,oid,pg_ts_template_tmplname_index,u
pg_replication_origin,roident,oid,pg_replication_origin_roiident_index,p
pg_replication_origin,roname,text,pg_replication_origin_roname_index,u
pg_subscription,subname,name,pg_subscription_subname_index,u
pg_subscription,subdbid,oid,pg_subscription_subname_index,u
pg_subscription,oid,oid,pg_subscription_oid_index,p
pg_subscription_rel,srsubid,oid,pg_subscription_rel_srrelid_srsubid_index,p
pg_subscription_rel,srrelid,oid,pg_subscription_rel_srrelid_srsubid_index,p
pg_publication,pubname,name,pg_publication_pubname_index,u
pg_publication,oid,oid,pg_publication_oid_index,p
pg_publication_rel,oid,oid,pg_publication_rel_oid_index,p
pg_publication_rel,prrelid,oid,pg_publication_rel_prrelid_prpubid_index,u
pg_publication_rel,prpubid,oid,pg_publication_rel_prrelid_prpubid_index,u
pg_publication_namespace,oid,oid,pg_publication_namespace_oid_index,p
pg_publication_namespace,pnpubid,oid,pg_publication_namespace_pnnspid_pnpubid_index,u
pg_publication_namespace,pnnspid,oid,pg_publication_namespace_pnnspid_pnpubid_index,u
pg_parameter_acl,parname,text,pg_parameter_acl_parname_index,u
pg_parameter_acl,oid,oid,pg_parameter_acl_oid_index,p
person.businessentity,businessentityid,integer,PK_BusinessEntity_BusinessEntityID,p
person.person,businessentityid,integer,FK_Person_BusinessEntity_BusinessEntityID,f
person.person,emailpromotion,integer,CK_Person_EmailPromotion,c
person.person,persontype,character(2),CK_Person_PersonType,c
person.person,businessentityid,integer,PK_Person_BusinessEntityID,p
person.stateprovince,stateprovinceid,integer,PK_StateProvince_StateProvinceID,p
person.stateprovince,territoryid,integer,FK_StateProvince_SalesTerritory_TerritoryID,f
person.stateprovince,countryregioncode,character varying(3),FK_StateProvince_CountryRegion_CountryRegionCode,f
person.address,addressid,integer,PK_Address_AddressID,p
person.address,stateprovinceid,integer,FK_Address_StateProvince_StateProvinceID,f
person.addresstype,addresstypeid,integer,PK_AddressType_AddressTypeID,p
person.businessentityaddress,addresstypeid,integer,FK_BusinessEntityAddress_AddressType_AddressTypeID,f
person.businessentityaddress,addressid,integer,FK_BusinessEntityAddress_Address_AddressID,f
person.businessentityaddress,businessentityid,integer,PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressType,p
person.businessentityaddress,addresstypeid,integer,PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressType,p
person.businessentityaddress,businessentityid,integer,FK_BusinessEntityAddress_BusinessEntity_BusinessEntityID,f
person.businessentityaddress,addressid,integer,PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressType,p
person.contacttype,contacttypeid,integer,PK_ContactType_ContactTypeID,p
person.businessentitycontact,personid,integer,PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeI,p
person.businessentitycontact,businessentityid,integer,FK_BusinessEntityContact_BusinessEntity_BusinessEntityID,f
person.businessentitycontact,contacttypeid,integer,FK_BusinessEntityContact_ContactType_ContactTypeID,f
person.businessentitycontact,personid,integer,FK_BusinessEntityContact_Person_PersonID,f
person.businessentitycontact,contacttypeid,integer,PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeI,p
person.businessentitycontact,businessentityid,integer,PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeI,p
person.emailaddress,businessentityid,integer,PK_EmailAddress_BusinessEntityID_EmailAddressID,p
person.emailaddress,emailaddressid,integer,PK_EmailAddress_BusinessEntityID_EmailAddressID,p
person.emailaddress,businessentityid,integer,FK_EmailAddress_Person_BusinessEntityID,f
person.password,businessentityid,integer,PK_Password_BusinessEntityID,p
person.password,businessentityid,integer,FK_Password_Person_BusinessEntityID,f
person.phonenumbertype,phonenumbertypeid,integer,PK_PhoneNumberType_PhoneNumberTypeID,p
person.personphone,phonenumbertypeid,integer,PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID,p
person.personphone,businessentityid,integer,PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID,p
person.personphone,phonenumber,"""Phone""",PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID,p
person.personphone,phonenumbertypeid,integer,FK_PersonPhone_PhoneNumberType_PhoneNumberTypeID,f
person.personphone,businessentityid,integer,FK_PersonPhone_Person_BusinessEntityID,f
person.countryregion,countryregioncode,character varying(3),PK_CountryRegion_CountryRegionCode,p
department,departmentid,integer,PK_Department_DepartmentID,p
department,Name,char,PK_Department_name,u
department,departmentname,char,PK_Department_deptname,u
department,Date,date,PK_Department_date,c
employee,gender,character(1),CK_Employee_Gender,c
 employee,vacationhours,smallint,CK_Employee_VacationHours,c
 employee,sickleavehours,smallint,CK_Employee_SickLeaveHours,c
 employee,businessentityid,integer,FK_Employee_Person_BusinessEntityID,f
 employee,birthdate,date,CK_Employee_BirthDate,c
 employee,hiredate,date,CK_Employee_HireDate,c
 employee,maritalstatus,character(1),CK_Employee_MaritalStatus,c
 employee,businessentityid,integer,PK_Employee_BusinessEntityID,p
humanresources.employeedepartmenthistory,enddate,date,CK_EmployeeDepartmentHistory_EndDate,c
humanresources.employeedepartmenthistory,startdate,date,CK_EmployeeDepartmentHistory_EndDate,c
humanresources.employeedepartmenthistory,businessentityid,integer,PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_Departm,p
humanresources.employeedepartmenthistory,departmentid,smallint,PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_Departm,p
humanresources.employeedepartmenthistory,shiftid,smallint,FK_EmployeeDepartmentHistory_Shift_ShiftID,f
humanresources.employeedepartmenthistory,businessentityid,integer,FK_EmployeeDepartmentHistory_Employee_BusinessEntityID,f
humanresources.employeedepartmenthistory,departmentid,smallint,FK_EmployeeDepartmentHistory_Department_DepartmentID,f
humanresources.employeedepartmenthistory,shiftid,smallint,PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_Departm,p
humanresources.employeedepartmenthistory,startdate,date,PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_Departm,p
humanresources.employeepayhistory,ratechangedate,timestamp without time zone,PK_EmployeePayHistory_BusinessEntityID_RateChangeDate,p
humanresources.employeepayhistory,businessentityid,integer,PK_EmployeePayHistory_BusinessEntityID_RateChangeDate,p
humanresources.employeepayhistory,rate,numeric,CK_EmployeePayHistory_Rate,c
humanresources.employeepayhistory,payfrequency,smallint,CK_EmployeePayHistory_PayFrequency,c
humanresources.employeepayhistory,businessentityid,integer,FK_EmployeePayHistory_Employee_BusinessEntityID,f
humanresources.jobcandidate,businessentityid,integer,FK_JobCandidate_Employee_BusinessEntityID,f
humanresources.jobcandidate,jobcandidateid,integer,PK_JobCandidate_JobCandidateID,p
humanresources.shift,shiftid,integer,PK_Shift_ShiftID,p
production.billofmaterials,unitmeasurecode,character(3),FK_BillOfMaterials_UnitMeasure_UnitMeasureCode,f
production.billofmaterials,startdate,timestamp without time zone,CK_BillOfMaterials_EndDate,c
production.billofmaterials,perassemblyqty,"numeric(8,2)",CK_BillOfMaterials_BOMLevel,c
production.billofmaterials,productassemblyid,integer,CK_BillOfMaterials_ProductAssemblyID,c
production.billofmaterials,componentid,integer,CK_BillOfMaterials_ProductAssemblyID,c
production.billofmaterials,productassemblyid,integer,FK_BillOfMaterials_Product_ProductAssemblyID,f
production.billofmaterials,componentid,integer,FK_BillOfMaterials_Product_ComponentID,f
production.billofmaterials,billofmaterialsid,integer,PK_BillOfMaterials_BillOfMaterialsID,p
production.billofmaterials,perassemblyqty,"numeric(8,2)",CK_BillOfMaterials_PerAssemblyQty,c
production.billofmaterials,productassemblyid,integer,CK_BillOfMaterials_BOMLevel,c
production.billofmaterials,bomlevel,smallint,CK_BillOfMaterials_BOMLevel,c
production.billofmaterials,enddate,timestamp without time zone,CK_BillOfMaterials_EndDate,c
production.culture,cultureid,character(6),PK_Culture_CultureID,p
production.document,status,smallint,CK_Document_Status,c
production.document,rowguid,uuid,document_rowguid_key,u
production.document,owner,integer,FK_Document_Employee_Owner,f
production.document,documentnode,character varying,PK_Document_DocumentNode,p
production.productcategory,productcategoryid,integer,PK_ProductCategory_ProductCategoryID,p
production.productsubcategory,productsubcategoryid,integer,PK_ProductSubcategory_ProductSubcategoryID,p
production.productsubcategory,productcategoryid,integer,FK_ProductSubcategory_ProductCategory_ProductCategoryID,f
production.productmodel,productmodelid,integer,PK_ProductModel_ProductModelID,p
production.product,reorderpoint,smallint,CK_Product_ReorderPoint,c
production.product,productsubcategoryid,integer,FK_Product_ProductSubcategory_ProductSubcategoryID,f
production.product,productmodelid,integer,FK_Product_ProductModel_ProductModelID,f
production.product,weightunitmeasurecode,character(3),FK_Product_UnitMeasure_WeightUnitMeasureCode,f
production.product,sizeunitmeasurecode,character(3),FK_Product_UnitMeasure_SizeUnitMeasureCode,f
production.product,productid,integer,PK_Product_ProductID,p
production.product,daystomanufacture,integer,CK_Product_DaysToManufacture,c
production.product,productline,character(2),CK_Product_ProductLine,c
production.product,class,character(2),CK_Product_Class,c
production.product,listprice,numeric,CK_Product_ListPrice,c
production.product,style,character(2),CK_Product_Style,c
production.product,sellstartdate,timestamp without time zone,CK_Product_SellEndDate,c
production.product,sellenddate,timestamp without time zone,CK_Product_SellEndDate,c
production.product,safetystocklevel,smallint,CK_Product_SafetyStockLevel,c
production.product,standardcost,numeric,CK_Product_StandardCost,c
production.product,weight,"numeric(8,2)",CK_Product_Weight,c
production.productcosthistory,startdate,timestamp without time zone,PK_ProductCostHistory_ProductID_StartDate,p
production.productcosthistory,startdate,timestamp without time zone,CK_ProductCostHistory_EndDate,c
production.productcosthistory,enddate,timestamp without time zone,CK_ProductCostHistory_EndDate,c
production.productcosthistory,productid,integer,FK_ProductCostHistory_Product_ProductID,f
production.productcosthistory,standardcost,numeric,CK_ProductCostHistory_StandardCost,c
production.productcosthistory,productid,integer,PK_ProductCostHistory_ProductID_StartDate,p
production.productdescription,productdescriptionid,integer,PK_ProductDescription_ProductDescriptionID,p
production.productdocument,documentnode,character varying,PK_ProductDocument_ProductID_DocumentNode,p
production.productdocument,documentnode,character varying,FK_ProductDocument_Document_DocumentNode,f
production.productdocument,productid,integer,PK_ProductDocument_ProductID_DocumentNode,p
production.productdocument,productid,integer,FK_ProductDocument_Product_ProductID,f
production.location,availability,"numeric(8,2)",CK_Location_Availability,c
production.location,costrate,numeric,CK_Location_CostRate,c
production.location,locationid,integer,PK_Location_LocationID,p
production.productinventory,bin,smallint,CK_ProductInventory_Bin,c
production.productinventory,productid,integer,FK_ProductInventory_Product_ProductID,f
production.productinventory,locationid,smallint,FK_ProductInventory_Location_LocationID,f
production.productinventory,productid,integer,PK_ProductInventory_ProductID_LocationID,p
production.productinventory,locationid,smallint,PK_ProductInventory_ProductID_LocationID,p
production.productlistpricehistory,productid,integer,FK_ProductListPriceHistory_Product_ProductID,f
production.productlistpricehistory,listprice,numeric,CK_ProductListPriceHistory_ListPrice,c
production.productlistpricehistory,startdate,timestamp without time zone,CK_ProductListPriceHistory_EndDate,c
production.productlistpricehistory,enddate,timestamp without time zone,CK_ProductListPriceHistory_EndDate,c
production.productlistpricehistory,startdate,timestamp without time zone,PK_ProductListPriceHistory_ProductID_StartDate,p
production.productlistpricehistory,productid,integer,PK_ProductListPriceHistory_ProductID_StartDate,p
production.illustration,illustrationid,integer,PK_Illustration_IllustrationID,p
production.productmodelillustration,illustrationid,integer,PK_ProductModelIllustration_ProductModelID_IllustrationID,p
production.productmodelillustration,productmodelid,integer,PK_ProductModelIllustration_ProductModelID_IllustrationID,p
production.productmodelillustration,illustrationid,integer,FK_ProductModelIllustration_Illustration_IllustrationID,f
production.productmodelillustration,productmodelid,integer,FK_ProductModelIllustration_ProductModel_ProductModelID,f
production.productmodelproductdescriptionculture,productdescriptionid,integer,PK_ProductModelProductDescriptionCulture_ProductModelID_Product,p
production.productmodelproductdescriptionculture,cultureid,character(6),FK_ProductModelProductDescriptionCulture_Culture_CultureID,f
production.productmodelproductdescriptionculture,productmodelid,integer,FK_ProductModelProductDescriptionCulture_ProductModel_ProductMo,f
production.productmodelproductdescriptionculture,productmodelid,integer,PK_ProductModelProductDescriptionCulture_ProductModelID_Product,p
production.productmodelproductdescriptionculture,cultureid,character(6),PK_ProductModelProductDescriptionCulture_ProductModelID_Product,p
production.productphoto,productphotoid,integer,PK_ProductPhoto_ProductPhotoID,p
production.productproductphoto,productphotoid,integer,FK_ProductProductPhoto_ProductPhoto_ProductPhotoID,f
production.productproductphoto,productid,integer,PK_ProductProductPhoto_ProductID_ProductPhotoID,p
production.productproductphoto,productid,integer,FK_ProductProductPhoto_Product_ProductID,f
production.productproductphoto,productphotoid,integer,PK_ProductProductPhoto_ProductID_ProductPhotoID,p
production.productreview,productreviewid,integer,PK_ProductReview_ProductReviewID,p
production.productreview,productid,integer,FK_ProductReview_Product_ProductID,f
production.productreview,rating,integer,CK_ProductReview_Rating,c
production.scrapreason,scrapreasonid,integer,PK_ScrapReason_ScrapReasonID,p
production.transactionhistory,transactiontype,character(1),CK_TransactionHistory_TransactionType,c
production.transactionhistory,transactionid,integer,PK_TransactionHistory_TransactionID,p
production.transactionhistory,productid,integer,FK_TransactionHistory_Product_ProductID,f
production.transactionhistoryarchive,transactionid,integer,PK_TransactionHistoryArchive_TransactionID,p
production.transactionhistoryarchive,transactiontype,character(1),CK_TransactionHistoryArchive_TransactionType,c
production.unitmeasure,unitmeasurecode,character(3),PK_UnitMeasure_UnitMeasureCode,p
production.workorder,enddate,timestamp without time zone,CK_WorkOrder_EndDate,c
production.workorder,workorderid,integer,PK_WorkOrder_WorkOrderID,p
production.workorder,productid,integer,FK_WorkOrder_Product_ProductID,f
production.workorder,scrappedqty,smallint,CK_WorkOrder_ScrappedQty,c
production.workorder,orderqty,integer,CK_WorkOrder_OrderQty,c
production.workorder,startdate,timestamp without time zone,CK_WorkOrder_EndDate,c
production.workorder,scrapreasonid,smallint,FK_WorkOrder_ScrapReason_ScrapReasonID,f
production.workorderrouting,workorderid,integer,FK_WorkOrderRouting_WorkOrder_WorkOrderID,f
production.workorderrouting,scheduledenddate,timestamp without time zone,CK_WorkOrderRouting_ScheduledEndDate,c
production.workorderrouting,scheduledstartdate,timestamp without time zone,CK_WorkOrderRouting_ScheduledEndDate,c
production.workorderrouting,actualenddate,timestamp without time zone,CK_WorkOrderRouting_ActualEndDate,c
production.workorderrouting,actualstartdate,timestamp without time zone,CK_WorkOrderRouting_ActualEndDate,c
production.workorderrouting,actualresourcehrs,"numeric(9,4)",CK_WorkOrderRouting_ActualResourceHrs,c
production.workorderrouting,plannedcost,numeric,CK_WorkOrderRouting_PlannedCost,c
production.workorderrouting,actualcost,numeric,CK_WorkOrderRouting_ActualCost,c
production.workorderrouting,operationsequence,smallint,PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence,p
production.workorderrouting,productid,integer,PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence,p
production.workorderrouting,workorderid,integer,PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence,p
production.workorderrouting,locationid,smallint,FK_WorkOrderRouting_Location_LocationID,f
purchasing.productvendor,businessentityid,integer,FK_ProductVendor_Vendor_BusinessEntityID,f
purchasing.productvendor,unitmeasurecode,character(3),FK_ProductVendor_UnitMeasure_UnitMeasureCode,f
purchasing.productvendor,maxorderqty,integer,CK_ProductVendor_MaxOrderQty,c
purchasing.productvendor,productid,integer,FK_ProductVendor_Product_ProductID,f
purchasing.productvendor,productid,integer,PK_ProductVendor_ProductID_BusinessEntityID,p
purchasing.productvendor,businessentityid,integer,PK_ProductVendor_ProductID_BusinessEntityID,p
purchasing.productvendor,onorderqty,integer,CK_ProductVendor_OnOrderQty,c
purchasing.productvendor,standardprice,numeric,CK_ProductVendor_StandardPrice,c
purchasing.productvendor,lastreceiptcost,numeric,CK_ProductVendor_LastReceiptCost,c
purchasing.productvendor,minorderqty,integer,CK_ProductVendor_MinOrderQty,c
purchasing.productvendor,averageleadtime,integer,CK_ProductVendor_AverageLeadTime,c
purchasing.purchaseorderdetail,receivedqty,"numeric(8,2)",CK_PurchaseOrderDetail_ReceivedQty,c
purchasing.purchaseorderdetail,unitprice,numeric,CK_PurchaseOrderDetail_UnitPrice,c
purchasing.purchaseorderdetail,purchaseorderid,integer,PK_PurchaseOrderDetail_PurchaseOrderID_PurchaseOrderDetailID,p
purchasing.purchaseorderdetail,orderqty,smallint,CK_PurchaseOrderDetail_OrderQty,c
purchasing.purchaseorderdetail,purchaseorderid,integer,FK_PurchaseOrderDetail_PurchaseOrderHeader_PurchaseOrderID,f
purchasing.purchaseorderdetail,purchaseorderdetailid,integer,PK_PurchaseOrderDetail_PurchaseOrderID_PurchaseOrderDetailID,p
purchasing.purchaseorderdetail,productid,integer,FK_PurchaseOrderDetail_Product_ProductID,f
purchasing.purchaseorderdetail,rejectedqty,"numeric(8,2)",CK_PurchaseOrderDetail_RejectedQty,c
purchasing.purchaseorderheader,purchaseorderid,integer,PK_PurchaseOrderHeader_PurchaseOrderID,p
purchasing.purchaseorderheader,shipmethodid,integer,FK_PurchaseOrderHeader_ShipMethod_ShipMethodID,f
purchasing.purchaseorderheader,vendorid,integer,FK_PurchaseOrderHeader_Vendor_VendorID,f
purchasing.purchaseorderheader,employeeid,integer,FK_PurchaseOrderHeader_Employee_EmployeeID,f
purchasing.purchaseorderheader,status,smallint,CK_PurchaseOrderHeader_Status,c
purchasing.purchaseorderheader,orderdate,timestamp without time zone,CK_PurchaseOrderHeader_ShipDate,c
