Table Name,Column Name,Data Type,Constraint Name,Constraint Type,processed_schema
person.businessentitycontact,"['personid', 'businessentityid', 'contacttypeid', 'personid', 'contacttypeid', 'businessentityid']","['integer', 'integer', 'integer', 'integer', 'integer', 'integer']","[('PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeI', 'u'), ('FK_BusinessEntityContact_BusinessEntity_BusinessEntityID', 'u'), ('FK_BusinessEntityContact_ContactType_ContactTypeID', 'u'), ('FK_BusinessEntityContact_Person_PersonID', 'p'), ('PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeI', 'p'), ('PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeI', 'u')]","['p', 'f', 'f', 'f', 'p', 'p']",person.businessentitycontact personid businessentityid contacttypeid personid contacttypeid businessentityid integer integer integer integer integer integer PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeI_u FK_BusinessEntityContact_BusinessEntity_BusinessEntityID_u FK_BusinessEntityContact_ContactType_ContactTypeID_u FK_BusinessEntityContact_Person_PersonID_p PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeI_p PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeI_u 0 1 2 3 4 5 u u u p p u
person.contacttype,['contacttypeid'],['integer'],"[('PK_ContactType_ContactTypeID', 'u')]",['p'],person.contacttype contacttypeid integer PK_ContactType_ContactTypeID_u 0 u
person.countryregion,['countryregioncode'],['character varying(3)'],"[('PK_CountryRegion_CountryRegionCode', 'u')]",['p'],person.countryregion countryregioncode character varying(3) PK_CountryRegion_CountryRegionCode_u 0 u
person.emailaddress,"['businessentityid', 'emailaddressid', 'businessentityid']","['integer', 'integer', 'integer']","[('PK_EmailAddress_BusinessEntityID_EmailAddressID', 'u'), ('PK_EmailAddress_BusinessEntityID_EmailAddressID', 'u'), ('FK_EmailAddress_Person_BusinessEntityID', 'u')]","['p', 'p', 'f']",person.emailaddress businessentityid emailaddressid businessentityid integer integer integer PK_EmailAddress_BusinessEntityID_EmailAddressID_u PK_EmailAddress_BusinessEntityID_EmailAddressID_u FK_EmailAddress_Person_BusinessEntityID_u 0 1 2 u u u
person.password,"['businessentityid', 'businessentityid']","['integer', 'integer']","[('PK_Password_BusinessEntityID', 'u'), ('FK_Password_Person_BusinessEntityID', 'u')]","['p', 'f']",person.password businessentityid businessentityid integer integer PK_Password_BusinessEntityID_u FK_Password_Person_BusinessEntityID_u 0 1 u u
person.person,"['businessentityid', 'emailpromotion', 'persontype', 'businessentityid']","['integer', 'integer', 'character(2)', 'integer']","[('FK_Person_BusinessEntity_BusinessEntityID', 'u'), ('CK_Person_EmailPromotion', 'u'), ('CK_Person_PersonType', 'u'), ('PK_Person_BusinessEntityID', 'p')]","['f', 'c', 'c', 'p']",person.person businessentityid emailpromotion persontype businessentityid integer integer character(2) integer FK_Person_BusinessEntity_BusinessEntityID_u CK_Person_EmailPromotion_u CK_Person_PersonType_u PK_Person_BusinessEntityID_p 0 1 2 3 u u u p
person.personphone,"['phonenumbertypeid', 'businessentityid', 'phonenumber', 'phonenumbertypeid', 'businessentityid']","['integer', 'integer', '""Phone""', 'integer', 'integer']","[('PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID', 'u'), ('PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID', 'u'), ('PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID', 'u'), ('FK_PersonPhone_PhoneNumberType_PhoneNumberTypeID', 'p'), ('FK_PersonPhone_Person_BusinessEntityID', 'p')]","['p', 'p', 'p', 'f', 'f']","person.personphone phonenumbertypeid businessentityid phonenumber phonenumbertypeid businessentityid integer integer ""Phone"" integer integer PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID_u PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID_u PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID_u FK_PersonPhone_PhoneNumberType_PhoneNumberTypeID_p FK_PersonPhone_Person_BusinessEntityID_p 0 1 2 3 4 u u u p p"
person.phonenumbertype,['phonenumbertypeid'],['integer'],"[('PK_PhoneNumberType_PhoneNumberTypeID', 'u')]",['p'],person.phonenumbertype phonenumbertypeid integer PK_PhoneNumberType_PhoneNumberTypeID_u 0 u
person.stateprovince,"['stateprovinceid', 'territoryid', 'countryregioncode']","['integer', 'integer', 'character varying(3)']","[('PK_StateProvince_StateProvinceID', 'u'), ('FK_StateProvince_SalesTerritory_TerritoryID', 'u'), ('FK_StateProvince_CountryRegion_CountryRegionCode', 'u')]","['p', 'f', 'f']",person.stateprovince stateprovinceid territoryid countryregioncode integer integer character varying(3) PK_StateProvince_StateProvinceID_u FK_StateProvince_SalesTerritory_TerritoryID_u FK_StateProvince_CountryRegion_CountryRegionCode_u 0 1 2 u u u
pg_aggregate,['aggfnoid'],['regproc'],"[('pg_aggregate_fnoid_index', 'u')]",['p'],pg_aggregate aggfnoid regproc pg_aggregate_fnoid_index_u 0 u
pg_am,"['amname', 'oid']","['name', 'oid']","[('pg_am_name_index', 'u'), ('pg_am_oid_index', 'u')]","['u', 'p']",pg_am amname oid name oid pg_am_name_index_u pg_am_oid_index_u 0 1 u u
pg_amop,"['oid', 'amopstrategy', 'amoprighttype', 'amoplefttype', 'amopfamily', 'amopopr', 'amoppurpose', 'amopfamily']","['oid', 'smallint', 'oid', 'oid', 'oid', 'oid', '""char""', 'oid']","[('pg_amop_oid_index', 'u'), ('pg_amop_fam_strat_index', 'u'), ('pg_amop_fam_strat_index', 'u'), ('pg_amop_fam_strat_index', 'p'), ('pg_amop_fam_strat_index', 'p'), ('pg_amop_opr_fam_index', 'u'), ('pg_amop_opr_fam_index', 'u'), ('pg_amop_opr_fam_index', 'p')]","['p', 'u', 'u', 'u', 'u', 'u', 'u', 'u']","pg_amop oid amopstrategy amoprighttype amoplefttype amopfamily amopopr amoppurpose amopfamily oid smallint oid oid oid oid ""char"" oid pg_amop_oid_index_u pg_amop_fam_strat_index_u pg_amop_fam_strat_index_u pg_amop_fam_strat_index_p pg_amop_fam_strat_index_p pg_amop_opr_fam_index_u pg_amop_opr_fam_index_u pg_amop_opr_fam_index_p 0 1 2 3 4 5 6 7 u u u p p u u p"
pg_amproc,"['amprocnum', 'amprocfamily', 'oid', 'amproclefttype', 'amprocrighttype']","['smallint', 'oid', 'oid', 'oid', 'oid']","[('pg_amproc_fam_proc_index', 'u'), ('pg_amproc_fam_proc_index', 'u'), ('pg_amproc_oid_index', 'u'), ('pg_amproc_fam_proc_index', 'p'), ('pg_amproc_fam_proc_index', 'p')]","['u', 'u', 'p', 'u', 'u']",pg_amproc amprocnum amprocfamily oid amproclefttype amprocrighttype smallint oid oid oid oid pg_amproc_fam_proc_index_u pg_amproc_fam_proc_index_u pg_amproc_oid_index_u pg_amproc_fam_proc_index_p pg_amproc_fam_proc_index_p 0 1 2 3 4 u u u p p
pg_attrdef,"['adrelid', 'oid', 'adnum']","['oid', 'oid', 'smallint']","[('pg_attrdef_adrelid_adnum_index', 'u'), ('pg_attrdef_oid_index', 'u'), ('pg_attrdef_adrelid_adnum_index', 'u')]","['u', 'p', 'u']",pg_attrdef adrelid oid adnum oid oid smallint pg_attrdef_adrelid_adnum_index_u pg_attrdef_oid_index_u pg_attrdef_adrelid_adnum_index_u 0 1 2 u u u
pg_attribute,"['attnum', 'attrelid', 'attrelid', 'attname']","['smallint', 'oid', 'oid', 'name']","[('pg_attribute_relid_attnum_index', 'u'), ('pg_attribute_relid_attnum_index', 'u'), ('pg_attribute_relid_attnam_index', 'u'), ('pg_attribute_relid_attnam_index', 'p')]","['p', 'p', 'u', 'u']",pg_attribute attnum attrelid attrelid attname smallint oid oid name pg_attribute_relid_attnum_index_u pg_attribute_relid_attnum_index_u pg_attribute_relid_attnam_index_u pg_attribute_relid_attnam_index_p 0 1 2 3 u u u p
pg_auth_members,"['grantor', 'grantor', 'roleid', 'member', 'oid', 'roleid', 'member']","['oid', 'oid', 'oid', 'oid', 'oid', 'oid', 'oid']","[('pg_auth_members_role_member_index', 'u'), ('pg_auth_members_member_role_index', 'u'), ('pg_auth_members_role_member_index', 'u'), ('pg_auth_members_role_member_index', 'p'), ('pg_auth_members_oid_index', 'p'), ('pg_auth_members_member_role_index', 'u'), ('pg_auth_members_member_role_index', 'u')]","['u', 'u', 'u', 'u', 'p', 'u', 'u']",pg_auth_members grantor grantor roleid member oid roleid member oid oid oid oid oid oid oid pg_auth_members_role_member_index_u pg_auth_members_member_role_index_u pg_auth_members_role_member_index_u pg_auth_members_role_member_index_p pg_auth_members_oid_index_p pg_auth_members_member_role_index_u pg_auth_members_member_role_index_u 0 1 2 3 4 5 6 u u u p p u u
pg_authid,"['oid', 'rolname']","['oid', 'name']","[('pg_authid_oid_index', 'u'), ('pg_authid_rolname_index', 'u')]","['p', 'u']",pg_authid oid rolname oid name pg_authid_oid_index_u pg_authid_rolname_index_u 0 1 u u
pg_cast,"['castsource', 'casttarget', 'oid']","['oid', 'oid', 'oid']","[('pg_cast_source_target_index', 'u'), ('pg_cast_source_target_index', 'u'), ('pg_cast_oid_index', 'u')]","['u', 'u', 'p']",pg_cast castsource casttarget oid oid oid oid pg_cast_source_target_index_u pg_cast_source_target_index_u pg_cast_oid_index_u 0 1 2 u u u
pg_class,"['relname', 'relnamespace', 'oid']","['name', 'oid', 'oid']","[('pg_class_relname_nsp_index', 'u'), ('pg_class_relname_nsp_index', 'u'), ('pg_class_oid_index', 'u')]","['u', 'u', 'p']",pg_class relname relnamespace oid name oid oid pg_class_relname_nsp_index_u pg_class_relname_nsp_index_u pg_class_oid_index_u 0 1 2 u u u
pg_collation,"['collencoding', 'collname', 'oid', 'collnamespace']","['integer', 'name', 'oid', 'oid']","[('pg_collation_name_enc_nsp_index', 'u'), ('pg_collation_name_enc_nsp_index', 'u'), ('pg_collation_oid_index', 'u'), ('pg_collation_name_enc_nsp_index', 'p')]","['u', 'u', 'p', 'u']",pg_collation collencoding collname oid collnamespace integer name oid oid pg_collation_name_enc_nsp_index_u pg_collation_name_enc_nsp_index_u pg_collation_oid_index_u pg_collation_name_enc_nsp_index_p 0 1 2 3 u u u p
pg_constraint,"['conrelid', 'contypid', 'oid', 'conname']","['oid', 'oid', 'oid', 'name']","[('pg_constraint_conrelid_contypid_conname_index', 'u'), ('pg_constraint_conrelid_contypid_conname_index', 'u'), ('pg_constraint_oid_index', 'u'), ('pg_constraint_conrelid_contypid_conname_index', 'p')]","['u', 'u', 'p', 'u']",pg_constraint conrelid contypid oid conname oid oid oid name pg_constraint_conrelid_contypid_conname_index_u pg_constraint_conrelid_contypid_conname_index_u pg_constraint_oid_index_u pg_constraint_conrelid_contypid_conname_index_p 0 1 2 3 u u u p
pg_conversion,"['oid', 'oid', 'conname', 'connamespace', 'connamespace', 'conforencoding', 'contoencoding']","['oid', 'oid', 'name', 'oid', 'oid', 'integer', 'integer']","[('pg_conversion_default_index', 'u'), ('pg_conversion_oid_index', 'u'), ('pg_conversion_name_nsp_index', 'u'), ('pg_conversion_name_nsp_index', 'p'), ('pg_conversion_default_index', 'p'), ('pg_conversion_default_index', 'u'), ('pg_conversion_default_index', 'u')]","['u', 'p', 'u', 'u', 'u', 'u', 'u']",pg_conversion oid oid conname connamespace connamespace conforencoding contoencoding oid oid name oid oid integer integer pg_conversion_default_index_u pg_conversion_oid_index_u pg_conversion_name_nsp_index_u pg_conversion_name_nsp_index_p pg_conversion_default_index_p pg_conversion_default_index_u pg_conversion_default_index_u 0 1 2 3 4 5 6 u u u p p u u
pg_database,"['oid', 'datname']","['oid', 'name']","[('pg_database_oid_index', 'u'), ('pg_database_datname_index', 'u')]","['p', 'u']",pg_database oid datname oid name pg_database_oid_index_u pg_database_datname_index_u 0 1 u u
pg_db_role_setting,"['setdatabase', 'setrole']","['oid', 'oid']","[('pg_db_role_setting_databaseid_rol_index', 'u'), ('pg_db_role_setting_databaseid_rol_index', 'u')]","['p', 'p']",pg_db_role_setting setdatabase setrole oid oid pg_db_role_setting_databaseid_rol_index_u pg_db_role_setting_databaseid_rol_index_u 0 1 u u
pg_default_acl,"['defaclrole', 'defaclnamespace', 'defaclobjtype', 'oid']","['oid', 'oid', '""char""', 'oid']","[('pg_default_acl_role_nsp_obj_index', 'u'), ('pg_default_acl_role_nsp_obj_index', 'u'), ('pg_default_acl_role_nsp_obj_index', 'u'), ('pg_default_acl_oid_index', 'p')]","['u', 'u', 'u', 'p']","pg_default_acl defaclrole defaclnamespace defaclobjtype oid oid oid ""char"" oid pg_default_acl_role_nsp_obj_index_u pg_default_acl_role_nsp_obj_index_u pg_default_acl_role_nsp_obj_index_u pg_default_acl_oid_index_p 0 1 2 3 u u u p"
pg_description,"['objsubid', 'classoid', 'objoid']","['integer', 'oid', 'oid']","[('pg_description_o_c_o_index', 'u'), ('pg_description_o_c_o_index', 'u'), ('pg_description_o_c_o_index', 'u')]","['p', 'p', 'p']",pg_description objsubid classoid objoid integer oid oid pg_description_o_c_o_index_u pg_description_o_c_o_index_u pg_description_o_c_o_index_u 0 1 2 u u u
pg_enum,"['enumlabel', 'oid', 'enumtypid', 'enumtypid', 'enumsortorder']","['name', 'oid', 'oid', 'oid', 'real']","[('pg_enum_typid_label_index', 'u'), ('pg_enum_oid_index', 'u'), ('pg_enum_typid_sortorder_index', 'u'), ('pg_enum_typid_label_index', 'p'), ('pg_enum_typid_sortorder_index', 'p')]","['u', 'p', 'u', 'u', 'u']",pg_enum enumlabel oid enumtypid enumtypid enumsortorder name oid oid oid real pg_enum_typid_label_index_u pg_enum_oid_index_u pg_enum_typid_sortorder_index_u pg_enum_typid_label_index_p pg_enum_typid_sortorder_index_p 0 1 2 3 4 u u u p p
pg_event_trigger,"['oid', 'evtname']","['oid', 'name']","[('pg_event_trigger_oid_index', 'u'), ('pg_event_trigger_evtname_index', 'u')]","['p', 'u']",pg_event_trigger oid evtname oid name pg_event_trigger_oid_index_u pg_event_trigger_evtname_index_u 0 1 u u
pg_extension,"['oid', 'extname']","['oid', 'name']","[('pg_extension_oid_index', 'u'), ('pg_extension_name_index', 'u')]","['p', 'u']",pg_extension oid extname oid name pg_extension_oid_index_u pg_extension_name_index_u 0 1 u u
pg_foreign_data_wrapper,"['fdwname', 'oid']","['name', 'oid']","[('pg_foreign_data_wrapper_name_index', 'u'), ('pg_foreign_data_wrapper_oid_index', 'u')]","['u', 'p']",pg_foreign_data_wrapper fdwname oid name oid pg_foreign_data_wrapper_name_index_u pg_foreign_data_wrapper_oid_index_u 0 1 u u
pg_foreign_server,"['srvname', 'oid']","['name', 'oid']","[('pg_foreign_server_name_index', 'u'), ('pg_foreign_server_oid_index', 'u')]","['u', 'p']",pg_foreign_server srvname oid name oid pg_foreign_server_name_index_u pg_foreign_server_oid_index_u 0 1 u u
pg_foreign_table,['ftrelid'],['oid'],"[('pg_foreign_table_relid_index', 'u')]",['p'],pg_foreign_table ftrelid oid pg_foreign_table_relid_index_u 0 u
pg_index,['indexrelid'],['oid'],"[('pg_index_indexrelid_index', 'u')]",['p'],pg_index indexrelid oid pg_index_indexrelid_index_u 0 u
pg_inherits,"['inhseqno', 'inhrelid']","['integer', 'oid']","[('pg_inherits_relid_seqno_index', 'u'), ('pg_inherits_relid_seqno_index', 'u')]","['p', 'p']",pg_inherits inhseqno inhrelid integer oid pg_inherits_relid_seqno_index_u pg_inherits_relid_seqno_index_u 0 1 u u
pg_init_privs,"['classoid', 'objsubid', 'objoid']","['oid', 'integer', 'oid']","[('pg_init_privs_o_c_o_index', 'u'), ('pg_init_privs_o_c_o_index', 'u'), ('pg_init_privs_o_c_o_index', 'u')]","['p', 'p', 'p']",pg_init_privs classoid objsubid objoid oid integer oid pg_init_privs_o_c_o_index_u pg_init_privs_o_c_o_index_u pg_init_privs_o_c_o_index_u 0 1 2 u u u
pg_language,"['lanname', 'oid']","['name', 'oid']","[('pg_language_name_index', 'u'), ('pg_language_oid_index', 'u')]","['u', 'p']",pg_language lanname oid name oid pg_language_name_index_u pg_language_oid_index_u 0 1 u u
pg_largeobject,"['loid', 'pageno']","['oid', 'integer']","[('pg_largeobject_loid_pn_index', 'u'), ('pg_largeobject_loid_pn_index', 'u')]","['p', 'p']",pg_largeobject loid pageno oid integer pg_largeobject_loid_pn_index_u pg_largeobject_loid_pn_index_u 0 1 u u
pg_largeobject_metadata,['oid'],['oid'],"[('pg_largeobject_metadata_oid_index', 'u')]",['p'],pg_largeobject_metadata oid oid pg_largeobject_metadata_oid_index_u 0 u
pg_namespace,"['nspname', 'oid']","['name', 'oid']","[('pg_namespace_nspname_index', 'u'), ('pg_namespace_oid_index', 'u')]","['u', 'p']",pg_namespace nspname oid name oid pg_namespace_nspname_index_u pg_namespace_oid_index_u 0 1 u u
pg_opclass,"['oid', 'opcnamespace', 'opcname', 'opcmethod']","['oid', 'oid', 'name', 'oid']","[('pg_opclass_oid_index', 'u'), ('pg_opclass_am_name_nsp_index', 'u'), ('pg_opclass_am_name_nsp_index', 'u'), ('pg_opclass_am_name_nsp_index', 'p')]","['p', 'u', 'u', 'u']",pg_opclass oid opcnamespace opcname opcmethod oid oid name oid pg_opclass_oid_index_u pg_opclass_am_name_nsp_index_u pg_opclass_am_name_nsp_index_u pg_opclass_am_name_nsp_index_p 0 1 2 3 u u u p
pg_operator,"['oprright', 'oid', 'oprname', 'oprnamespace', 'oprleft']","['oid', 'oid', 'name', 'oid', 'oid']","[('pg_operator_oprname_l_r_n_index', 'u'), ('pg_operator_oid_index', 'u'), ('pg_operator_oprname_l_r_n_index', 'u'), ('pg_operator_oprname_l_r_n_index', 'p'), ('pg_operator_oprname_l_r_n_index', 'p')]","['u', 'p', 'u', 'u', 'u']",pg_operator oprright oid oprname oprnamespace oprleft oid oid name oid oid pg_operator_oprname_l_r_n_index_u pg_operator_oid_index_u pg_operator_oprname_l_r_n_index_u pg_operator_oprname_l_r_n_index_p pg_operator_oprname_l_r_n_index_p 0 1 2 3 4 u u u p p
pg_opfamily,"['opfmethod', 'opfname', 'oid', 'opfnamespace']","['oid', 'name', 'oid', 'oid']","[('pg_opfamily_am_name_nsp_index', 'u'), ('pg_opfamily_am_name_nsp_index', 'u'), ('pg_opfamily_oid_index', 'u'), ('pg_opfamily_am_name_nsp_index', 'p')]","['u', 'u', 'p', 'u']",pg_opfamily opfmethod opfname oid opfnamespace oid name oid oid pg_opfamily_am_name_nsp_index_u pg_opfamily_am_name_nsp_index_u pg_opfamily_oid_index_u pg_opfamily_am_name_nsp_index_p 0 1 2 3 u u u p
pg_parameter_acl,"['parname', 'oid']","['text', 'oid']","[('pg_parameter_acl_parname_index', 'u'), ('pg_parameter_acl_oid_index', 'u')]","['u', 'p']",pg_parameter_acl parname oid text oid pg_parameter_acl_parname_index_u pg_parameter_acl_oid_index_u 0 1 u u
pg_partitioned_table,['partrelid'],['oid'],"[('pg_partitioned_table_partrelid_index', 'u')]",['p'],pg_partitioned_table partrelid oid pg_partitioned_table_partrelid_index_u 0 u
pg_policy,"['oid', 'polname', 'polrelid']","['oid', 'name', 'oid']","[('pg_policy_oid_index', 'u'), ('pg_policy_polrelid_polname_index', 'u'), ('pg_policy_polrelid_polname_index', 'u')]","['p', 'u', 'u']",pg_policy oid polname polrelid oid name oid pg_policy_oid_index_u pg_policy_polrelid_polname_index_u pg_policy_polrelid_polname_index_u 0 1 2 u u u
pg_proc,"['proargtypes', 'pronamespace', 'proname', 'oid']","['oidvector', 'oid', 'name', 'oid']","[('pg_proc_proname_args_nsp_index', 'u'), ('pg_proc_proname_args_nsp_index', 'u'), ('pg_proc_proname_args_nsp_index', 'u'), ('pg_proc_oid_index', 'p')]","['u', 'u', 'u', 'p']",pg_proc proargtypes pronamespace proname oid oidvector oid name oid pg_proc_proname_args_nsp_index_u pg_proc_proname_args_nsp_index_u pg_proc_proname_args_nsp_index_u pg_proc_oid_index_p 0 1 2 3 u u u p
pg_publication,"['pubname', 'oid']","['name', 'oid']","[('pg_publication_pubname_index', 'u'), ('pg_publication_oid_index', 'u')]","['u', 'p']",pg_publication pubname oid name oid pg_publication_pubname_index_u pg_publication_oid_index_u 0 1 u u
pg_publication_namespace,"['oid', 'pnpubid', 'pnnspid']","['oid', 'oid', 'oid']","[('pg_publication_namespace_oid_index', 'u'), ('pg_publication_namespace_pnnspid_pnpubid_index', 'u'), ('pg_publication_namespace_pnnspid_pnpubid_index', 'u')]","['p', 'u', 'u']",pg_publication_namespace oid pnpubid pnnspid oid oid oid pg_publication_namespace_oid_index_u pg_publication_namespace_pnnspid_pnpubid_index_u pg_publication_namespace_pnnspid_pnpubid_index_u 0 1 2 u u u
pg_publication_rel,"['oid', 'prrelid', 'prpubid']","['oid', 'oid', 'oid']","[('pg_publication_rel_oid_index', 'u'), ('pg_publication_rel_prrelid_prpubid_index', 'u'), ('pg_publication_rel_prrelid_prpubid_index', 'u')]","['p', 'u', 'u']",pg_publication_rel oid prrelid prpubid oid oid oid pg_publication_rel_oid_index_u pg_publication_rel_prrelid_prpubid_index_u pg_publication_rel_prrelid_prpubid_index_u 0 1 2 u u u
pg_range,"['rngmultitypid', 'rngtypid']","['oid', 'oid']","[('pg_range_rngmultitypid_index', 'u'), ('pg_range_rngtypid_index', 'u')]","['u', 'p']",pg_range rngmultitypid rngtypid oid oid pg_range_rngmultitypid_index_u pg_range_rngtypid_index_u 0 1 u u
