Table Schema,Table Name,Column Name,Data Type,Is Nullable,Constraint Type,Ordinal Position
pe,bec,modifieddate,timestamp without time zone,YES,,6
pe,cr,countryregioncode,character varying,YES,,1
pe,cr,name,character varying,YES,,2
pe,cr,modifieddate,timestamp without time zone,YES,,3
pe,ct,id,integer,YES,,1
pe,ct,contacttypeid,integer,YES,,2
pe,ct,name,character varying,YES,,3
pe,ct,modifieddate,timestamp without time zone,YES,,4
pe,e,id,integer,YES,,1
pe,e,businessentityid,integer,YES,,2
pe,e,emailaddressid,integer,YES,,3
pe,e,emailaddress,character varying,YES,,4
pe,e,rowguid,uuid,YES,,5
pe,e,modifieddate,timestamp without time zone,YES,,6
pe,p,id,integer,YES,,1
pe,p,businessentityid,integer,YES,,2
pe,p,persontype,character,YES,,3
pe,p,namestyle,boolean,NO,,4
pe,p,title,character varying,YES,,5
pe,p,firstname,character varying,YES,,6
pe,p,middlename,character varying,YES,,7
pe,p,lastname,character varying,YES,,8
pe,p,suffix,character varying,YES,,9
pe,p,emailpromotion,integer,YES,,10
pe,p,additionalcontactinfo,xml,YES,,11
pe,p,demographics,xml,YES,,12
pe,p,rowguid,uuid,YES,,13
pe,p,modifieddate,timestamp without time zone,YES,,14
pe,pa,id,integer,YES,,1
pe,pa,businessentityid,integer,YES,,2
pe,pa,passwordhash,character varying,YES,,3
pe,pa,passwordsalt,character varying,YES,,4
pe,pa,rowguid,uuid,YES,,5
pe,pa,modifieddate,timestamp without time zone,YES,,6
pe,pnt,id,integer,YES,,1
pe,pnt,phonenumbertypeid,integer,YES,,2
pe,pnt,name,character varying,YES,,3
pe,pnt,modifieddate,timestamp without time zone,YES,,4
pe,pp,id,integer,YES,,1
pe,pp,businessentityid,integer,YES,,2
pe,pp,phonenumber,character varying,YES,,3
pe,pp,phonenumbertypeid,integer,YES,,4
pe,pp,modifieddate,timestamp without time zone,YES,,5
pe,sp,id,integer,YES,,1
pe,sp,stateprovinceid,integer,YES,,2
pe,sp,stateprovincecode,character,YES,,3
pe,sp,countryregioncode,character varying,YES,,4
pe,sp,isonlystateprovinceflag,boolean,NO,,5
pe,sp,name,character varying,YES,,6
pe,sp,territoryid,integer,YES,,7
pe,sp,rowguid,uuid,YES,,8
pe,sp,modifieddate,timestamp without time zone,YES,,9
person,address,addressid,integer,NO,PRIMARY KEY,1
person,address,addressline1,character varying,NO,,2
person,address,addressline2,character varying,YES,,3
person,address,city,character varying,NO,,4
person,address,stateprovinceid,integer,NO,,5
person,address,postalcode,character varying,NO,,6
person,address,spatiallocation,bytea,YES,,7
person,address,rowguid,uuid,NO,,8
person,address,modifieddate,timestamp without time zone,NO,,9
person,addresstype,addresstypeid,integer,NO,PRIMARY KEY,1
person,addresstype,name,character varying,NO,,2
person,addresstype,rowguid,uuid,NO,,3
person,addresstype,modifieddate,timestamp without time zone,NO,,4
person,businessentity,businessentityid,integer,NO,PRIMARY KEY,1
person,businessentity,rowguid,uuid,NO,,2
person,businessentity,modifieddate,timestamp without time zone,NO,,3
person,businessentityaddress,businessentityid,integer,NO,PRIMARY KEY,1
person,businessentityaddress,addressid,integer,NO,PRIMARY KEY,2
person,businessentityaddress,addresstypeid,integer,NO,PRIMARY KEY,3
person,businessentityaddress,rowguid,uuid,NO,,4
person,businessentityaddress,modifieddate,timestamp without time zone,NO,,5
person,businessentitycontact,businessentityid,integer,NO,PRIMARY KEY,1
person,businessentitycontact,personid,integer,NO,PRIMARY KEY,2
person,businessentitycontact,contacttypeid,integer,NO,PRIMARY KEY,3
person,businessentitycontact,rowguid,uuid,NO,,4
person,businessentitycontact,modifieddate,timestamp without time zone,NO,,5
person,contacttype,contacttypeid,integer,NO,PRIMARY KEY,1
person,contacttype,name,character varying,NO,,2
person,contacttype,modifieddate,timestamp without time zone,NO,,3
person,countryregion,countryregioncode,character varying,NO,PRIMARY KEY,1
person,countryregion,name,character varying,NO,,2
person,countryregion,modifieddate,timestamp without time zone,NO,,3
person,emailaddress,businessentityid,integer,NO,PRIMARY KEY,1
person,emailaddress,emailaddressid,integer,NO,PRIMARY KEY,2
person,emailaddress,emailaddress,character varying,YES,,3
person,emailaddress,rowguid,uuid,NO,,4
person,emailaddress,modifieddate,timestamp without time zone,NO,,5
person,password,businessentityid,integer,NO,PRIMARY KEY,1
person,password,passwordhash,character varying,NO,,2
person,password,passwordsalt,character varying,NO,,3
person,password,rowguid,uuid,NO,,4
person,password,modifieddate,timestamp without time zone,NO,,5
person,person,businessentityid,integer,NO,PRIMARY KEY,1
person,person,persontype,character,NO,CHECK,2
person,person,namestyle,boolean,NO,,3
person,person,title,character varying,YES,,4
person,person,firstname,character varying,NO,,5
person,person,middlename,character varying,YES,,6
person,person,lastname,character varying,NO,,7
person,person,suffix,character varying,YES,,8
person,person,emailpromotion,integer,NO,CHECK,9
person,person,additionalcontactinfo,xml,YES,,10
person,person,demographics,xml,YES,,11
person,person,rowguid,uuid,NO,,12
person,person,modifieddate,timestamp without time zone,NO,,13
person,personphone,businessentityid,integer,NO,PRIMARY KEY,1
person,personphone,phonenumber,character varying,NO,PRIMARY KEY,2
person,personphone,phonenumbertypeid,integer,NO,PRIMARY KEY,3
person,personphone,modifieddate,timestamp without time zone,NO,,4
person,phonenumbertype,phonenumbertypeid,integer,NO,PRIMARY KEY,1
person,phonenumbertype,name,character varying,NO,,2
person,phonenumbertype,modifieddate,timestamp without time zone,NO,,3
person,stateprovince,stateprovinceid,integer,NO,PRIMARY KEY,1
person,stateprovince,stateprovincecode,character,NO,,2
person,stateprovince,countryregioncode,character varying,NO,,3
person,stateprovince,isonlystateprovinceflag,boolean,NO,,4
person,stateprovince,name,character varying,NO,,5
person,stateprovince,territoryid,integer,NO,,6
person,stateprovince,rowguid,uuid,NO,,7
person,stateprovince,modifieddate,timestamp without time zone,NO,,8
person,vadditionalcontactinfo,businessentityid,integer,YES,,1
person,vadditionalcontactinfo,firstname,character varying,YES,,2
person,vadditionalcontactinfo,middlename,character varying,YES,,3
person,vadditionalcontactinfo,lastname,character varying,YES,,4
person,vadditionalcontactinfo,telephonenumber,xml,YES,,5
person,vadditionalcontactinfo,telephonespecialinstructions,text,YES,,6
person,vadditionalcontactinfo,street,xml,YES,,7
person,vadditionalcontactinfo,city,xml,YES,,8
person,vadditionalcontactinfo,stateprovince,xml,YES,,9
person,vadditionalcontactinfo,postalcode,xml,YES,,10
person,vadditionalcontactinfo,countryregion,xml,YES,,11
person,vadditionalcontactinfo,homeaddressspecialinstructions,xml,YES,,12
person,vadditionalcontactinfo,emailaddress,xml,YES,,13
person,vadditionalcontactinfo,emailspecialinstructions,text,YES,,14
person,vadditionalcontactinfo,emailtelephonenumber,xml,YES,,15
person,vadditionalcontactinfo,rowguid,uuid,YES,,16
person,vadditionalcontactinfo,modifieddate,timestamp without time zone,YES,,17
pr,bom,id,integer,YES,,1
pr,bom,billofmaterialsid,integer,YES,,2
pr,bom,productassemblyid,integer,YES,,3
pr,bom,componentid,integer,YES,,4
pr,bom,startdate,timestamp without time zone,YES,,5
pr,bom,enddate,timestamp without time zone,YES,,6
pr,bom,unitmeasurecode,character,YES,,7
pr,bom,bomlevel,smallint,YES,,8
pr,bom,perassemblyqty,numeric,YES,,9
pr,bom,modifieddate,timestamp without time zone,YES,,10
pr,c,id,character,YES,,1
pr,c,cultureid,character,YES,,2
pr,c,name,character varying,YES,,3
pr,c,modifieddate,timestamp without time zone,YES,,4
pr,d,title,character varying,YES,,1
pr,d,owner,integer,YES,,2
pr,d,folderflag,boolean,NO,,3
pr,d,filename,character varying,YES,,4
pr,d,fileextension,character varying,YES,,5
pr,d,revision,character,YES,,6
pr,d,changenumber,integer,YES,,7
pr,d,status,smallint,YES,,8
pr,d,documentsummary,text,YES,,9
pr,d,document,bytea,YES,,10
pr,d,rowguid,uuid,YES,,11
pr,d,modifieddate,timestamp without time zone,YES,,12
pr,d,documentnode,character varying,YES,,13
pr,i,id,integer,YES,,1
pr,i,illustrationid,integer,YES,,2
pr,i,diagram,xml,YES,,3
pr,i,modifieddate,timestamp without time zone,YES,,4
pr,l,id,integer,YES,,1
pr,l,locationid,integer,YES,,2
pr,l,name,character varying,YES,,3
pr,l,costrate,numeric,YES,,4
pr,l,availability,numeric,YES,,5
pr,l,modifieddate,timestamp without time zone,YES,,6
pr,p,id,integer,YES,,1
pr,p,productid,integer,YES,,2
pr,p,name,character varying,YES,,3
pr,p,productnumber,character varying,YES,,4
pr,p,makeflag,boolean,NO,,5
pr,p,finishedgoodsflag,boolean,NO,,6
pr,p,color,character varying,YES,,7
pr,p,safetystocklevel,smallint,YES,,8
pr,p,reorderpoint,smallint,YES,,9
pr,p,standardcost,numeric,YES,,10
pr,p,listprice,numeric,YES,,11
pr,p,size,character varying,YES,,12
pr,p,sizeunitmeasurecode,character,YES,,13
pr,p,weightunitmeasurecode,character,YES,,14
pr,p,weight,numeric,YES,,15
pr,p,daystomanufacture,integer,YES,,16
pr,p,productline,character,YES,,17
pr,p,class,character,YES,,18
pr,p,style,character,YES,,19
pr,p,productsubcategoryid,integer,YES,,20
pr,p,productmodelid,integer,YES,,21
pr,p,sellstartdate,timestamp without time zone,YES,,22
pr,p,sellenddate,timestamp without time zone,YES,,23
pr,p,discontinueddate,timestamp without time zone,YES,,24
pr,p,rowguid,uuid,YES,,25
pr,p,modifieddate,timestamp without time zone,YES,,26
pr,pc,id,integer,YES,,1
pr,pc,productcategoryid,integer,YES,,2
pr,pc,name,character varying,YES,,3
pr,pc,rowguid,uuid,YES,,4
pr,pc,modifieddate,timestamp without time zone,YES,,5
pr,pch,id,integer,YES,,1
pr,pch,productid,integer,YES,,2
pr,pch,startdate,timestamp without time zone,YES,,3
pr,pch,enddate,timestamp without time zone,YES,,4
pr,pch,standardcost,numeric,YES,,5
pr,pch,modifieddate,timestamp without time zone,YES,,6
pr,pd,id,integer,YES,,1
pr,pd,productdescriptionid,integer,YES,,2
pr,pd,description,character varying,YES,,3
pr,pd,rowguid,uuid,YES,,4
pr,pd,modifieddate,timestamp without time zone,YES,,5
pr,pdoc,id,integer,YES,,1
pr,pdoc,productid,integer,YES,,2
pr,pdoc,modifieddate,timestamp without time zone,YES,,3
pr,pdoc,documentnode,character varying,YES,,4
pr,pi,id,integer,YES,,1
pr,pi,productid,integer,YES,,2
pr,pi,locationid,smallint,YES,,3
pr,pi,shelf,character varying,YES,,4
pr,pi,bin,smallint,YES,,5
pr,pi,quantity,smallint,YES,,6
pr,pi,rowguid,uuid,YES,,7
pr,pi,modifieddate,timestamp without time zone,YES,,8
pr,plph,id,integer,YES,,1
pr,plph,productid,integer,YES,,2
pr,plph,startdate,timestamp without time zone,YES,,3
pr,plph,enddate,timestamp without time zone,YES,,4
pr,plph,listprice,numeric,YES,,5
pr,plph,modifieddate,timestamp without time zone,YES,,6
pr,pm,id,integer,YES,,1
pr,pm,productmodelid,integer,YES,,2
pr,pm,name,character varying,YES,,3
pr,pm,catalogdescription,xml,YES,,4
pr,pm,instructions,xml,YES,,5
pr,pm,rowguid,uuid,YES,,6
pr,pm,modifieddate,timestamp without time zone,YES,,7
pr,pmi,productmodelid,integer,YES,,1
pr,pmi,illustrationid,integer,YES,,2
pr,pmi,modifieddate,timestamp without time zone,YES,,3
pr,pmpdc,productmodelid,integer,YES,,1
pr,pmpdc,productdescriptionid,integer,YES,,2
pr,pmpdc,cultureid,character,YES,,3
pr,pmpdc,modifieddate,timestamp without time zone,YES,,4
pr,pp,id,integer,YES,,1
pr,pp,productphotoid,integer,YES,,2
pr,pp,thumbnailphoto,bytea,YES,,3
pr,pp,thumbnailphotofilename,character varying,YES,,4
pr,pp,largephoto,bytea,YES,,5
pr,pp,largephotofilename,character varying,YES,,6
pr,pp,modifieddate,timestamp without time zone,YES,,7
pr,ppp,productid,integer,YES,,1
pr,ppp,productphotoid,integer,YES,,2
pr,ppp,primary,boolean,NO,,3
pr,ppp,modifieddate,timestamp without time zone,YES,,4
pr,pr,id,integer,YES,,1
pr,pr,productreviewid,integer,YES,,2
pr,pr,productid,integer,YES,,3
pr,pr,reviewername,character varying,YES,,4
pr,pr,reviewdate,timestamp without time zone,YES,,5
pr,pr,emailaddress,character varying,YES,,6
pr,pr,rating,integer,YES,,7
pr,pr,comments,character varying,YES,,8
pr,pr,modifieddate,timestamp without time zone,YES,,9
pr,psc,id,integer,YES,,1
pr,psc,productsubcategoryid,integer,YES,,2
pr,psc,productcategoryid,integer,YES,,3
pr,psc,name,character varying,YES,,4
pr,psc,rowguid,uuid,YES,,5
pr,psc,modifieddate,timestamp without time zone,YES,,6
pr,sr,id,integer,YES,,1
pr,sr,scrapreasonid,integer,YES,,2
pr,sr,name,character varying,YES,,3
pr,sr,modifieddate,timestamp without time zone,YES,,4
pr,th,id,integer,YES,,1
pr,th,transactionid,integer,YES,,2
pr,th,productid,integer,YES,,3
pr,th,referenceorderid,integer,YES,,4
pr,th,referenceorderlineid,integer,YES,,5
pr,th,transactiondate,timestamp without time zone,YES,,6
pr,th,transactiontype,character,YES,,7
pr,th,quantity,integer,YES,,8
pr,th,actualcost,numeric,YES,,9
pr,th,modifieddate,timestamp without time zone,YES,,10
pr,tha,id,integer,YES,,1
pr,tha,transactionid,integer,YES,,2
pr,tha,productid,integer,YES,,3
pr,tha,referenceorderid,integer,YES,,4
pr,tha,referenceorderlineid,integer,YES,,5
pr,tha,transactiondate,timestamp without time zone,YES,,6
pr,tha,transactiontype,character,YES,,7
pr,tha,quantity,integer,YES,,8
pr,tha,actualcost,numeric,YES,,9
pr,tha,modifieddate,timestamp without time zone,YES,,10
pr,um,id,character,YES,,1
pr,um,unitmeasurecode,character,YES,,2
pr,um,name,character varying,YES,,3
pr,um,modifieddate,timestamp without time zone,YES,,4
pr,w,id,integer,YES,,1
pr,w,workorderid,integer,YES,,2
pr,w,productid,integer,YES,,3
pr,w,orderqty,integer,YES,,4
pr,w,scrappedqty,smallint,YES,,5
pr,w,startdate,timestamp without time zone,YES,,6
pr,w,enddate,timestamp without time zone,YES,,7
pr,w,duedate,timestamp without time zone,YES,,8
pr,w,scrapreasonid,smallint,YES,,9
pr,w,modifieddate,timestamp without time zone,YES,,10
pr,wr,id,integer,YES,,1
pr,wr,workorderid,integer,YES,,2
pr,wr,productid,integer,YES,,3
pr,wr,operationsequence,smallint,YES,,4
pr,wr,locationid,smallint,YES,,5
pr,wr,scheduledstartdate,timestamp without time zone,YES,,6
pr,wr,scheduledenddate,timestamp without time zone,YES,,7
pr,wr,actualstartdate,timestamp without time zone,YES,,8
pr,wr,actualenddate,timestamp without time zone,YES,,9
pr,wr,actualresourcehrs,numeric,YES,,10
pr,wr,plannedcost,numeric,YES,,11
pr,wr,actualcost,numeric,YES,,12
pr,wr,modifieddate,timestamp without time zone,YES,,13
production,billofmaterials,billofmaterialsid,integer,NO,PRIMARY KEY,1
production,billofmaterials,productassemblyid,integer,YES,CHECK,2
production,billofmaterials,componentid,integer,NO,CHECK,3
production,billofmaterials,startdate,timestamp without time zone,NO,CHECK,4
production,billofmaterials,enddate,timestamp without time zone,YES,CHECK,5
production,billofmaterials,unitmeasurecode,character,NO,,6
production,billofmaterials,bomlevel,smallint,NO,CHECK,7
production,billofmaterials,perassemblyqty,numeric,NO,CHECK,8
production,billofmaterials,modifieddate,timestamp without time zone,NO,,9
production,culture,cultureid,character,NO,PRIMARY KEY,1
production,culture,name,character varying,NO,,2
production,culture,modifieddate,timestamp without time zone,NO,,3
production,document,title,character varying,NO,,3
production,document,owner,integer,NO,,4
production,document,folderflag,boolean,NO,,5
production,document,filename,character varying,NO,,6
production,document,fileextension,character varying,YES,,7
production,document,revision,character,NO,,8
production,document,changenumber,integer,NO,,9
production,document,status,smallint,NO,CHECK,10
production,document,documentsummary,text,YES,,11
production,document,document,bytea,YES,,12
production,document,rowguid,uuid,NO,UNIQUE,13
production,document,modifieddate,timestamp without time zone,NO,,14
production,document,documentnode,character varying,NO,PRIMARY KEY,15
production,illustration,illustrationid,integer,NO,PRIMARY KEY,1
production,illustration,diagram,xml,YES,,2
production,illustration,modifieddate,timestamp without time zone,NO,,3
production,location,locationid,integer,NO,PRIMARY KEY,1
production,location,name,character varying,NO,,2
production,location,costrate,numeric,NO,CHECK,3
production,location,availability,numeric,NO,CHECK,4
production,location,modifieddate,timestamp without time zone,NO,,5
production,product,productid,integer,NO,PRIMARY KEY,1
production,product,name,character varying,NO,,2
production,product,productnumber,character varying,NO,,3
production,product,makeflag,boolean,NO,,4
production,product,finishedgoodsflag,boolean,NO,,5
production,product,color,character varying,YES,,6
production,product,safetystocklevel,smallint,NO,CHECK,7
production,product,reorderpoint,smallint,NO,CHECK,8
production,product,standardcost,numeric,NO,CHECK,9
production,product,listprice,numeric,NO,CHECK,10
production,product,size,character varying,YES,,11
production,product,sizeunitmeasurecode,character,YES,,12
production,product,weightunitmeasurecode,character,YES,,13
production,product,weight,numeric,YES,CHECK,14
production,product,daystomanufacture,integer,NO,CHECK,15
production,product,productline,character,YES,CHECK,16
production,product,class,character,YES,CHECK,17
production,product,style,character,YES,CHECK,18
production,product,productsubcategoryid,integer,YES,,19
production,product,productmodelid,integer,YES,,20
production,product,sellstartdate,timestamp without time zone,NO,CHECK,21
production,product,sellenddate,timestamp without time zone,YES,CHECK,22
production,product,discontinueddate,timestamp without time zone,YES,,23
production,product,rowguid,uuid,NO,,24
production,product,modifieddate,timestamp without time zone,NO,,25
production,productcategory,productcategoryid,integer,NO,PRIMARY KEY,1
production,productcategory,name,character varying,NO,,2
production,productcategory,rowguid,uuid,NO,,3
production,productcategory,modifieddate,timestamp without time zone,NO,,4
